region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
us,1999,6,1999-06,294.2201333333333,294.4880505952381,-0.26791726190481313
us,1999,7,1999-07,297.37634166666663,297.1193517857143,0.25698988095234654
us,1999,8,1999-08,296.9922583333333,297.0306229166667,-0.03836458333336168
us,1999,9,1999-09,294.06054166666667,293.8135693452381,0.24697232142858638
us,1999,10,1999-10,287.6414166666666,288.7450845238095,-1.1036678571429093
us,1999,11,1999-11,283.09684166666665,283.2411851190476,-0.14434345238095148
us,1999,12,1999-12,280.0799916666667,278.1761863095238,1.9038053571428577
us,2000,1,2000-01,274.06059166666665,276.4227619047619,-2.3621702380952456
us,2000,2,2000-02,279.4759916666667,278.42727648809523,1.048715178571456
us,2000,3,2000-03,281.974375,281.9466991071428,0.02767589285718941
us,2000,4,2000-04,287.33725833333335,286.35950654761905,0.9777517857143039
us,2000,5,2000-05,290.7835166666666,290.6994705357143,0.08404613095234481
us,2000,6,2000-06,295.4544583333333,294.4880505952381,0.9664077380951994
us,2000,7,2000-07,297.5290083333333,297.1193517857143,0.40965654761902215
us,2000,8,2000-08,297.4860666666667,297.0306229166667,0.455443750000029
us,2000,9,2000-09,294.23049166666664,293.8135693452381,0.416922321428558
us,2000,10,2000-10,288.20739166666664,288.7450845238095,-0.5376928571428721
us,2000,11,2000-11,284.0190583333333,283.2411851190476,0.7778732142857052
us,2000,12,2000-12,280.25285833333334,278.1761863095238,2.0766720238095218
us,2001,1,2001-01,276.618025,276.4227619047619,0.19526309523809005
us,2001,2,2001-02,274.141175,278.42727648809523,-4.286101488095255
us,2001,3,2001-03,280.93355,281.9466991071428,-1.0131491071427945
us,2001,4,2001-04,286.87720833333333,286.35950654761905,0.51770178571428
us,2001,5,2001-05,291.81345,290.6994705357143,1.1139794642857055
us,2001,6,2001-06,295.1413083333333,294.4880505952381,0.653257738095192
us,2001,7,2001-07,297.82811666666663,297.1193517857143,0.7087648809523444
us,2001,8,2001-08,297.8810833333334,297.0306229166667,0.8504604166666923
us,2001,9,2001-09,293.69464999999997,293.8135693452381,-0.11891934523811187
us,2001,10,2001-10,289.2932083333333,288.7450845238095,0.5481238095238155
us,2001,11,2001-11,284.08771666666667,283.2411851190476,0.8465315476190653
us,2001,12,2001-12,277.614175,278.1761863095238,-0.5620113095238253
us,2002,1,2002-01,277.2946333333333,276.4227619047619,0.87187142857141
us,2002,2,2002-02,279.4564666666667,278.42727648809523,1.0291901785714686
us,2002,3,2002-03,283.63714166666665,281.9466991071428,1.6904425595238308
us,2002,4,2002-04,287.39209166666666,286.35950654761905,1.03258511904761
us,2002,5,2002-05,290.8752083333333,290.6994705357143,0.17573779761903552
us,2002,6,2002-06,295.15634166666666,294.4880505952381,0.6682910714285413
us,2002,7,2002-07,296.901375,297.1193517857143,-0.21797678571431334
us,2002,8,2002-08,296.95285,297.0306229166667,-0.07777291666667452
us,2002,9,2002-09,294.570775,293.8135693452381,0.7572056547619468
us,2002,10,2002-10,288.3111333333333,288.7450845238095,-0.43395119047619346
us,2002,11,2002-11,283.77382500000004,283.2411851190476,0.5326398809524449
us,2002,12,2002-12,278.9934416666667,278.1761863095238,0.8172553571428693
us,2003,1,2003-01,278.31955833333336,276.4227619047619,1.896796428571463
us,2003,2,2003-02,280.82275,278.42727648809523,2.395473511904754
us,2003,3,2003-03,282.4742166666667,281.9466991071428,0.5275175595238579
us,2003,4,2003-04,286.8268416666666,286.35950654761905,0.4673351190475614
us,2003,5,2003-05,291.3555166666667,290.6994705357143,0.6560461309524044
us,2003,6,2003-06,294.2811083333333,294.4880505952381,-0.20694226190482823
us,2003,7,2003-07,297.00039166666664,297.1193517857143,-0.11896011904764237
us,2003,8,2003-08,296.4797166666667,297.0306229166667,-0.5509062499999686
us,2003,9,2003-09,293.7927583333333,293.8135693452381,-0.02081101190475465
us,2003,10,2003-10,288.67015000000004,288.7450845238095,-0.07493452380947474
us,2003,11,2003-11,282.61789999999996,283.2411851190476,-0.6232851190476367
us,2003,12,2003-12,277.30114166666664,278.1761863095238,-0.8750446428571763
us,2004,1,2004-01,272.4137666666667,276.4227619047619,-4.008995238095224
us,2004,2,2004-02,278.8814416666667,278.42727648809523,0.4541651785714862
us,2004,3,2004-03,282.4678083333333,281.9466991071428,0.5211092261905037
