lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.77,-0.72
-59.842934,-168.75,275.85,-0.57
-59.842934,-167.5,275.87,-0.48
-59.842934,-166.25,275.84,-0.43
-59.842934,-165.0,275.78,-0.38
-59.842934,-163.75,275.69,-0.37
-59.842934,-162.5,275.56,-0.4
-59.842934,-161.25,275.42,-0.43
-59.842934,-160.0,275.31,-0.45
-59.842934,-158.75,275.21,-0.45
-59.842934,-157.5,275.1,-0.45
-59.842934,-156.25,275.0,-0.46
-59.842934,-155.0,274.91,-0.49
-59.842934,-153.75,274.89,-0.48
-59.842934,-152.5,274.95,-0.42
-59.842934,-151.25,275.08,-0.34
-59.842934,-150.0,275.2,-0.27
-59.842934,-148.75,275.32,-0.2
-59.842934,-147.5,275.44,-0.12
-59.842934,-146.25,275.58,-0.05
-59.842934,-145.0,275.71,0.05
-59.842934,-143.75,275.78,0.07
-59.842934,-142.5,275.85,0.08
-59.842934,-141.25,275.89,0.07
-59.842934,-140.0,275.9,0.02
-59.842934,-138.75,275.88,-0.05
-59.842934,-137.5,275.88,-0.11
-59.842934,-136.25,275.92,-0.14
-59.842934,-135.0,275.96,-0.17
-59.842934,-133.75,275.99,-0.23
-59.842934,-132.5,276.03,-0.28
-59.842934,-131.25,276.08,-0.32
-59.842934,-130.0,276.12,-0.34
-59.842934,-128.75,276.15,-0.35
-59.842934,-127.5,276.2,-0.35
-59.842934,-126.25,276.24,-0.33
-59.842934,-125.0,276.26,-0.31
-59.842934,-123.75,276.22,-0.36
-59.842934,-122.5,276.13,-0.46
-59.842934,-121.25,276.04,-0.55
-59.842934,-120.0,275.93,-0.66
-59.842934,-118.75,275.82,-0.75
-59.842934,-117.5,275.71,-0.84
-59.842934,-116.25,275.61,-0.9
-59.842934,-115.0,275.52,-0.96
-59.842934,-113.75,275.45,-1.01
-59.842934,-112.5,275.41,-1.04
-59.842934,-111.25,275.35,-1.04
-59.842934,-110.0,275.28,-1.08
-59.842934,-108.75,275.19,-1.15
-59.842934,-107.5,275.09,-1.23
-59.842934,-106.25,275.0,-1.32
-59.842934,-105.0,274.9,-1.4
-59.842934,-103.75,274.82,-1.48
-59.842934,-102.5,274.76,-1.53
-59.842934,-101.25,274.71,-1.6
-59.842934,-100.0,274.68,-1.63
-59.842934,-98.75,274.64,-1.64
-59.842934,-97.5,274.62,-1.6
-59.842934,-96.25,274.57,-1.56
-59.842934,-95.0,274.52,-1.54
-59.842934,-93.75,274.47,-1.54
-59.842934,-92.5,274.41,-1.55
-59.842934,-91.25,274.33,-1.55
-59.842934,-90.0,274.21,-1.58
-59.842934,-88.75,274.11,-1.61
-59.842934,-87.5,274.01,-1.65
-59.842934,-86.25,273.92,-1.68
-59.842934,-85.0,273.84,-1.71
-59.842934,-83.75,273.77,-1.74
-59.842934,-82.5,273.72,-1.78
-59.842934,-81.25,273.69,-1.79
-59.842934,-80.0,273.68,-1.78
-59.842934,-78.75,273.68,-1.76
-59.842934,-77.5,273.67,-1.73
-59.842934,-76.25,273.68,-1.69
-59.842934,-75.0,273.69,-1.62
-59.842934,-73.75,273.64,-1.58
-59.842934,-72.5,273.56,-1.57
-59.842934,-71.25,273.48,-1.56
-59.842934,-70.0,273.33,-1.57
-59.842934,-68.75,273.06,-1.63
-59.842934,-67.5,272.8,-1.72
-59.842934,-66.25,272.7,-1.83
-59.842934,-65.0,272.65,-1.97
-59.842934,-63.75,272.63,-2.15
-59.842934,-62.5,272.6,-2.36
-59.842934,-61.25,272.53,-2.55
-59.842934,-60.0,272.43,-2.74
-59.842934,-58.75,272.33,-2.91
-59.842934,-57.5,272.24,-3.06
