lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,272.76,-0.51
-59.842934,-168.75,272.78,-0.39
-59.842934,-167.5,272.79,-0.29
-59.842934,-166.25,272.8,-0.17
-59.842934,-165.0,272.81,-0.04
-59.842934,-163.75,272.77,0.07
-59.842934,-162.5,272.72,0.18
-59.842934,-161.25,272.67,0.28
-59.842934,-160.0,272.58,0.31
-59.842934,-158.75,272.46,0.32
-59.842934,-157.5,272.33,0.33
-59.842934,-156.25,272.17,0.29
-59.842934,-155.0,272.01,0.25
-59.842934,-153.75,271.91,0.22
-59.842934,-152.5,271.84,0.15
-59.842934,-151.25,271.82,0.07
-59.842934,-150.0,271.85,0.03
-59.842934,-148.75,271.92,0.02
-59.842934,-147.5,272.0,0.0
-59.842934,-146.25,272.08,-0.05
-59.842934,-145.0,272.15,-0.12
-59.842934,-143.75,272.24,-0.16
-59.842934,-142.5,272.35,-0.19
-59.842934,-141.25,272.47,-0.22
-59.842934,-140.0,272.6,-0.24
-59.842934,-138.75,272.73,-0.24
-59.842934,-137.5,272.86,-0.24
-59.842934,-136.25,273.01,-0.23
-59.842934,-135.0,273.19,-0.19
-59.842934,-133.75,273.35,-0.18
-59.842934,-132.5,273.52,-0.16
-59.842934,-131.25,273.67,-0.17
-59.842934,-130.0,273.78,-0.22
-59.842934,-128.75,273.88,-0.29
-59.842934,-127.5,273.96,-0.35
-59.842934,-126.25,274.02,-0.41
-59.842934,-125.0,274.03,-0.45
-59.842934,-123.75,274.02,-0.48
-59.842934,-122.5,274.02,-0.52
-59.842934,-121.25,274.01,-0.54
-59.842934,-120.0,274.0,-0.55
-59.842934,-118.75,274.0,-0.57
-59.842934,-117.5,273.99,-0.58
-59.842934,-116.25,273.98,-0.59
-59.842934,-115.0,273.97,-0.62
-59.842934,-113.75,273.95,-0.68
-59.842934,-112.5,273.96,-0.73
-59.842934,-111.25,273.94,-0.79
-59.842934,-110.0,273.86,-0.9
-59.842934,-108.75,273.74,-1.03
-59.842934,-107.5,273.62,-1.16
-59.842934,-106.25,273.52,-1.26
-59.842934,-105.0,273.43,-1.33
-59.842934,-103.75,273.34,-1.39
-59.842934,-102.5,273.24,-1.49
-59.842934,-101.25,273.16,-1.54
-59.842934,-100.0,273.1,-1.57
-59.842934,-98.75,273.05,-1.58
-59.842934,-97.5,272.99,-1.6
-59.842934,-96.25,272.94,-1.61
-59.842934,-95.0,272.88,-1.61
-59.842934,-93.75,272.82,-1.62
-59.842934,-92.5,272.76,-1.63
-59.842934,-91.25,272.71,-1.61
-59.842934,-90.0,272.7,-1.59
-59.842934,-88.75,272.74,-1.56
-59.842934,-87.5,272.79,-1.57
-59.842934,-86.25,272.84,-1.58
-59.842934,-85.0,272.89,-1.55
-59.842934,-83.75,272.94,-1.5
-59.842934,-82.5,272.98,-1.44
-59.842934,-81.25,273.03,-1.35
-59.842934,-80.0,273.08,-1.24
-59.842934,-78.75,273.13,-1.13
-59.842934,-77.5,273.15,-1.05
-59.842934,-76.25,273.17,-0.97
-59.842934,-75.0,273.16,-0.87
-59.842934,-73.75,273.14,-0.77
-59.842934,-72.5,273.08,-0.65
-59.842934,-71.25,272.95,-0.54
-59.842934,-70.0,272.69,-0.42
-59.842934,-68.75,272.29,-0.27
-59.842934,-67.5,271.92,0.05
-59.842934,-66.25,271.72,0.39
-59.842934,-65.0,271.59,0.64
-59.842934,-63.75,271.58,0.78
-59.842934,-62.5,271.64,0.82
-59.842934,-61.25,271.71,0.79
-59.842934,-60.0,271.77,0.79
-59.842934,-58.75,271.77,0.8
-59.842934,-57.5,271.66,0.74
-59.842934,-56.25,271.51,0.67
-59.842934,-55.0,271.38,0.7
-59.842934,-53.75,271.25,0.84
-59.842934,-52.5,271.16,1.12
-59.842934,-51.25,271.09,1.49
-59.842934,-50.0,271.02,1.94
-59.842934,-48.75,270.94,2.5
-59.842934,-47.5,270.8,3.12
-59.842934,-46.25,270.64,3.7
-59.842934,-45.0,270.49,4.12
-59.842934,-43.75,270.4,4.39
-59.842934,-42.5,270.29,4.6
-59.842934,-41.25,270.09,4.75
-59.842934,-40.0,269.8,4.74
-59.842934,-38.75,269.47,4.56
-59.842934,-37.5,269.17,4.3
-59.842934,-36.25,268.94,4.04
-59.842934,-35.0,268.72,3.81
-59.842934,-33.75,268.51,3.57
-59.842934,-32.5,268.31,3.33
