lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,277.39,0.47
-59.842934,-168.75,277.32,0.43
-59.842934,-167.5,277.26,0.39
-59.842934,-166.25,277.19,0.34
-59.842934,-165.0,277.11,0.28
-59.842934,-163.75,277.01,0.21
-59.842934,-162.5,276.9,0.14
-59.842934,-161.25,276.79,0.07
-59.842934,-160.0,276.69,0.02
-59.842934,-158.75,276.59,-0.02
-59.842934,-157.5,276.49,-0.04
-59.842934,-156.25,276.37,-0.07
-59.842934,-155.0,276.26,-0.11
-59.842934,-153.75,276.16,-0.13
-59.842934,-152.5,276.12,-0.16
-59.842934,-151.25,276.11,-0.19
-59.842934,-150.0,276.11,-0.22
-59.842934,-148.75,276.12,-0.27
-59.842934,-147.5,276.13,-0.34
-59.842934,-146.25,276.17,-0.38
-59.842934,-145.0,276.23,-0.42
-59.842934,-143.75,276.29,-0.46
-59.842934,-142.5,276.35,-0.5
-59.842934,-141.25,276.41,-0.52
-59.842934,-140.0,276.5,-0.54
-59.842934,-138.75,276.59,-0.55
-59.842934,-137.5,276.69,-0.54
-59.842934,-136.25,276.79,-0.53
-59.842934,-135.0,276.89,-0.52
-59.842934,-133.75,276.99,-0.51
-59.842934,-132.5,277.06,-0.51
-59.842934,-131.25,277.11,-0.53
-59.842934,-130.0,277.14,-0.56
-59.842934,-128.75,277.17,-0.58
-59.842934,-127.5,277.19,-0.61
-59.842934,-126.25,277.19,-0.66
-59.842934,-125.0,277.2,-0.7
-59.842934,-123.75,277.18,-0.76
-59.842934,-122.5,277.16,-0.8
-59.842934,-121.25,277.21,-0.77
-59.842934,-120.0,277.28,-0.72
-59.842934,-118.75,277.33,-0.7
-59.842934,-117.5,277.37,-0.7
-59.842934,-116.25,277.42,-0.69
-59.842934,-115.0,277.5,-0.66
-59.842934,-113.75,277.56,-0.63
-59.842934,-112.5,277.64,-0.6
-59.842934,-111.25,277.72,-0.57
-59.842934,-110.0,277.8,-0.53
-59.842934,-108.75,277.87,-0.49
-59.842934,-107.5,277.94,-0.45
-59.842934,-106.25,277.99,-0.42
-59.842934,-105.0,278.03,-0.39
-59.842934,-103.75,278.09,-0.35
-59.842934,-102.5,278.16,-0.32
-59.842934,-101.25,278.24,-0.27
-59.842934,-100.0,278.32,-0.23
-59.842934,-98.75,278.38,-0.19
-59.842934,-97.5,278.42,-0.18
-59.842934,-96.25,278.43,-0.18
-59.842934,-95.0,278.45,-0.16
-59.842934,-93.75,278.47,-0.14
-59.842934,-92.5,278.51,-0.11
-59.842934,-91.25,278.56,-0.08
-59.842934,-90.0,278.63,-0.05
-59.842934,-88.75,278.68,-0.01
-59.842934,-87.5,278.71,0.01
-59.842934,-86.25,278.73,0.03
-59.842934,-85.0,278.76,0.05
-59.842934,-83.75,278.77,0.05
-59.842934,-82.5,278.79,0.05
-59.842934,-81.25,278.81,0.05
-59.842934,-80.0,278.81,0.02
-59.842934,-78.75,278.81,0.01
-59.842934,-77.5,278.81,0.01
-59.842934,-76.25,278.81,0.04
-59.842934,-75.0,278.81,0.07
