lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.58,1.26
-59.842934,-168.75,275.52,1.25
-59.842934,-167.5,275.48,1.27
-59.842934,-166.25,275.45,1.31
-59.842934,-165.0,275.41,1.37
-59.842934,-163.75,275.36,1.43
-59.842934,-162.5,275.29,1.48
-59.842934,-161.25,275.21,1.52
-59.842934,-160.0,275.13,1.55
-59.842934,-158.75,275.04,1.59
-59.842934,-157.5,274.9,1.6
-59.842934,-156.25,274.77,1.62
-59.842934,-155.0,274.64,1.64
-59.842934,-153.75,274.52,1.62
-59.842934,-152.5,274.41,1.59
-59.842934,-151.25,274.32,1.54
-59.842934,-150.0,274.24,1.49
-59.842934,-148.75,274.2,1.46
-59.842934,-147.5,274.18,1.46
-59.842934,-146.25,274.21,1.48
-59.842934,-145.0,274.25,1.47
-59.842934,-143.75,274.31,1.44
-59.842934,-142.5,274.4,1.42
-59.842934,-141.25,274.51,1.4
-59.842934,-140.0,274.61,1.36
-59.842934,-138.75,274.7,1.3
-59.842934,-137.5,274.76,1.24
-59.842934,-136.25,274.82,1.18
-59.842934,-135.0,274.89,1.11
-59.842934,-133.75,274.96,1.06
-59.842934,-132.5,275.04,1.01
-59.842934,-131.25,275.12,0.98
-59.842934,-130.0,275.21,0.94
-59.842934,-128.75,275.3,0.9
-59.842934,-127.5,275.39,0.87
-59.842934,-126.25,275.47,0.86
-59.842934,-125.0,275.51,0.83
-59.842934,-123.75,275.52,0.8
-59.842934,-122.5,275.5,0.77
-59.842934,-121.25,275.48,0.75
-59.842934,-120.0,275.46,0.74
-59.842934,-118.75,275.46,0.74
-59.842934,-117.5,275.45,0.73
-59.842934,-116.25,275.44,0.72
-59.842934,-115.0,275.43,0.71
-59.842934,-113.75,275.43,0.69
-59.842934,-112.5,275.45,0.68
-59.842934,-111.25,275.49,0.68
-59.842934,-110.0,275.53,0.69
-59.842934,-108.75,275.59,0.7
-59.842934,-107.5,275.64,0.72
-59.842934,-106.25,275.7,0.74
-59.842934,-105.0,275.76,0.76
-59.842934,-103.75,275.81,0.78
-59.842934,-102.5,275.87,0.8
-59.842934,-101.25,275.95,0.84
-59.842934,-100.0,276.03,0.88
-59.842934,-98.75,276.1,0.94
-59.842934,-97.5,276.17,1.01
-59.842934,-96.25,276.22,1.07
-59.842934,-95.0,276.26,1.12
-59.842934,-93.75,276.32,1.17
-59.842934,-92.5,276.4,1.22
-59.842934,-91.25,276.51,1.27
-59.842934,-90.0,276.61,1.32
-59.842934,-88.75,276.69,1.36
-59.842934,-87.5,276.75,1.4
-59.842934,-86.25,276.8,1.44
-59.842934,-85.0,276.85,1.49
-59.842934,-83.75,276.9,1.52
-59.842934,-82.5,276.94,1.55
-59.842934,-81.25,276.98,1.57
-59.842934,-80.0,277.02,1.6
-59.842934,-78.75,277.07,1.63
-59.842934,-77.5,277.12,1.67
-59.842934,-76.25,277.16,1.71
-59.842934,-75.0,277.15,1.73
-59.842934,-73.75,277.1,1.75
-59.842934,-72.5,277.05,1.78
-59.842934,-71.25,276.97,1.82
-59.842934,-70.0,276.81,1.84
-59.842934,-68.75,276.55,1.82
-59.842934,-67.5,276.31,1.84
-59.842934,-66.25,276.17,1.82
-59.842934,-65.0,276.14,1.85
-59.842934,-63.75,276.19,1.88
-59.842934,-62.5,276.27,1.9
-59.842934,-61.25,276.38,1.9
-59.842934,-60.0,276.44,1.88
-59.842934,-58.75,276.45,1.85
-59.842934,-57.5,276.39,1.82
-59.842934,-56.25,276.28,1.79
-59.842934,-55.0,276.19,1.76
-59.842934,-53.75,276.11,1.72
-59.842934,-52.5,276.03,1.67
-59.842934,-51.25,275.94,1.6
-59.842934,-50.0,275.82,1.53
-59.842934,-48.75,275.68,1.47
-59.842934,-47.5,275.49,1.41
-59.842934,-46.25,275.28,1.34
-59.842934,-45.0,275.11,1.3
-59.842934,-43.75,274.96,1.24
-59.842934,-42.5,274.82,1.18
-59.842934,-41.25,274.68,1.11
-59.842934,-40.0,274.54,1.04
-59.842934,-38.75,274.41,0.99
-59.842934,-37.5,274.28,0.94
-59.842934,-36.25,274.13,0.91
-59.842934,-35.0,273.98,0.87
-59.842934,-33.75,273.85,0.87
-59.842934,-32.5,273.74,0.85
-59.842934,-31.25,273.66,0.86
-59.842934,-30.0,273.59,0.87
-58.900524,-170.0,276.28,1.16
-58.900524,-168.75,276.21,1.15
-58.900524,-167.5,276.17,1.17
-58.900524,-166.25,276.12,1.22
-58.900524,-165.0,276.07,1.26
-58.900524,-163.75,275.99,1.3
-58.900524,-162.5,275.9,1.34
-58.900524,-161.25,275.8,1.38
-58.900524,-160.0,275.7,1.41
-58.900524,-158.75,275.59,1.44
-58.900524,-157.5,275.43,1.44
-58.900524,-156.25,275.27,1.45
-58.900524,-155.0,275.1,1.46
-58.900524,-153.75,274.95,1.46
-58.900524,-152.5,274.82,1.43
-58.900524,-151.25,274.72,1.39
-58.900524,-150.0,274.66,1.35
-58.900524,-148.75,274.63,1.34
-58.900524,-147.5,274.64,1.33
