lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,276.66,1.31
-59.842934,-168.75,276.56,1.25
-59.842934,-167.5,276.48,1.22
-59.842934,-166.25,276.39,1.18
-59.842934,-165.0,276.29,1.15
-59.842934,-163.75,276.19,1.13
-59.842934,-162.5,276.07,1.11
-59.842934,-161.25,275.95,1.08
-59.842934,-160.0,275.84,1.06
-59.842934,-158.75,275.72,1.04
-59.842934,-157.5,275.59,1.0
-59.842934,-156.25,275.45,0.99
-59.842934,-155.0,275.32,0.97
-59.842934,-153.75,275.22,0.95
-59.842934,-152.5,275.15,0.93
-59.842934,-151.25,275.11,0.9
-59.842934,-150.0,275.1,0.86
-59.842934,-148.75,275.09,0.83
-59.842934,-147.5,275.11,0.79
-59.842934,-146.25,275.14,0.73
-59.842934,-145.0,275.2,0.71
-59.842934,-143.75,275.29,0.7
-59.842934,-142.5,275.39,0.7
-59.842934,-141.25,275.51,0.71
-59.842934,-140.0,275.65,0.73
-59.842934,-138.75,275.8,0.75
-59.842934,-137.5,275.95,0.76
-59.842934,-136.25,276.09,0.75
-59.842934,-135.0,276.23,0.73
-59.842934,-133.75,276.36,0.71
-59.842934,-132.5,276.47,0.7
-59.842934,-131.25,276.57,0.68
-59.842934,-130.0,276.66,0.65
-59.842934,-128.75,276.74,0.62
-59.842934,-127.5,276.81,0.58
-59.842934,-126.25,276.88,0.57
-59.842934,-125.0,276.94,0.56
-59.842934,-123.75,276.98,0.55
-59.842934,-122.5,277.02,0.57
-59.842934,-121.25,277.07,0.59
-59.842934,-120.0,277.12,0.61
-59.842934,-118.75,277.16,0.62
-59.842934,-117.5,277.19,0.64
-59.842934,-116.25,277.21,0.64
-59.842934,-115.0,277.27,0.69
-59.842934,-113.75,277.34,0.75
-59.842934,-112.5,277.43,0.82
-59.842934,-111.25,277.53,0.89
-59.842934,-110.0,277.63,0.96
-59.842934,-108.75,277.75,1.04
-59.842934,-107.5,277.87,1.12
-59.842934,-106.25,277.98,1.19
-59.842934,-105.0,278.06,1.25
-59.842934,-103.75,278.14,1.3
-59.842934,-102.5,278.19,1.32
-59.842934,-101.25,278.23,1.34
-59.842934,-100.0,278.27,1.35
-59.842934,-98.75,278.32,1.37
-59.842934,-97.5,278.37,1.4
-59.842934,-96.25,278.41,1.45
-59.842934,-95.0,278.46,1.51
-59.842934,-93.75,278.52,1.58
-59.842934,-92.5,278.58,1.65
-59.842934,-91.25,278.65,1.72
-59.842934,-90.0,278.7,1.76
-59.842934,-88.75,278.74,1.78
-59.842934,-87.5,278.77,1.79
-59.842934,-86.25,278.78,1.79
-59.842934,-85.0,278.78,1.79
-59.842934,-83.75,278.78,1.81
-59.842934,-82.5,278.77,1.83
-59.842934,-81.25,278.76,1.87
-59.842934,-80.0,278.75,1.9
-59.842934,-78.75,278.71,1.92
-59.842934,-77.5,278.64,1.92
-59.842934,-76.25,278.56,1.91
-59.842934,-75.0,278.47,1.89
-59.842934,-73.75,278.35,1.86
-59.842934,-72.5,278.21,1.82
-59.842934,-71.25,278.05,1.79
-59.842934,-70.0,277.81,1.76
-59.842934,-68.75,277.51,1.7
-59.842934,-67.5,277.24,1.63
-59.842934,-66.25,277.12,1.6
-59.842934,-65.0,277.09,1.57
-59.842934,-63.75,277.08,1.51
-59.842934,-62.5,277.11,1.45
-59.842934,-61.25,277.13,1.41
-59.842934,-60.0,277.1,1.36
-59.842934,-58.75,277.01,1.33
-59.842934,-57.5,276.89,1.33
-59.842934,-56.25,276.72,1.32
-59.842934,-55.0,276.61,1.37
-59.842934,-53.75,276.54,1.43
-59.842934,-52.5,276.47,1.46
-59.842934,-51.25,276.41,1.48
-59.842934,-50.0,276.34,1.48
-59.842934,-48.75,276.24,1.46
-59.842934,-47.5,276.11,1.43
-59.842934,-46.25,275.95,1.38
-59.842934,-45.0,275.83,1.35
-59.842934,-43.75,275.69,1.27
-59.842934,-42.5,275.51,1.16
-59.842934,-41.25,275.3,1.06
-59.842934,-40.0,275.08,0.97
-59.842934,-38.75,274.85,0.9
-59.842934,-37.5,274.62,0.85
-59.842934,-36.25,274.38,0.81
-59.842934,-35.0,274.14,0.78
-59.842934,-33.75,273.9,0.76
-59.842934,-32.5,273.72,0.75
-59.842934,-31.25,273.58,0.73
-59.842934,-30.0,273.45,0.68
