lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,274.44,-0.94
-59.842934,-168.75,274.38,-0.96
-59.842934,-167.5,274.31,-1.01
-59.842934,-166.25,274.21,-1.06
-59.842934,-165.0,274.1,-1.11
-59.842934,-163.75,273.98,-1.17
-59.842934,-162.5,273.84,-1.21
-59.842934,-161.25,273.7,-1.27
-59.842934,-160.0,273.59,-1.29
-59.842934,-158.75,273.48,-1.32
-59.842934,-157.5,273.32,-1.36
-59.842934,-156.25,273.18,-1.39
-59.842934,-155.0,273.08,-1.38
-59.842934,-153.75,273.03,-1.32
-59.842934,-152.5,273.0,-1.27
-59.842934,-151.25,272.99,-1.23
-59.842934,-150.0,272.99,-1.21
-59.842934,-148.75,273.0,-1.18
-59.842934,-147.5,273.05,-1.15
-59.842934,-146.25,273.16,-1.07
-59.842934,-145.0,273.25,-1.03
-59.842934,-143.75,273.3,-1.04
-59.842934,-142.5,273.3,-1.1
-59.842934,-141.25,273.27,-1.22
-59.842934,-140.0,273.23,-1.35
-59.842934,-138.75,273.19,-1.49
-59.842934,-137.5,273.16,-1.58
-59.842934,-136.25,273.13,-1.66
-59.842934,-135.0,273.11,-1.72
-59.842934,-133.75,273.11,-1.79
-59.842934,-132.5,273.12,-1.84
-59.842934,-131.25,273.14,-1.91
-59.842934,-130.0,273.15,-1.98
-59.842934,-128.75,273.17,-2.06
-59.842934,-127.5,273.2,-2.14
-59.842934,-126.25,273.25,-2.21
-59.842934,-125.0,273.26,-2.27
-59.842934,-123.75,273.27,-2.3
-59.842934,-122.5,273.28,-2.32
-59.842934,-121.25,273.29,-2.32
-59.842934,-120.0,273.3,-2.31
-59.842934,-118.75,273.31,-2.29
-59.842934,-117.5,273.32,-2.24
-59.842934,-116.25,273.34,-2.16
-59.842934,-115.0,273.37,-2.06
-59.842934,-113.75,273.39,-1.98
-59.842934,-112.5,273.41,-1.91
-59.842934,-111.25,273.43,-1.89
-59.842934,-110.0,273.44,-1.89
-59.842934,-108.75,273.45,-1.91
-59.842934,-107.5,273.45,-1.92
-59.842934,-106.25,273.45,-1.92
-59.842934,-105.0,273.42,-1.94
-59.842934,-103.75,273.39,-1.97
-59.842934,-102.5,273.38,-1.98
-59.842934,-101.25,273.38,-2.01
-59.842934,-100.0,273.39,-2.06
-59.842934,-98.75,273.39,-2.13
-59.842934,-97.5,273.36,-2.19
-59.842934,-96.25,273.34,-2.22
-59.842934,-95.0,273.33,-2.23
-59.842934,-93.75,273.34,-2.24
-59.842934,-92.5,273.37,-2.24
-59.842934,-91.25,273.44,-2.22
-59.842934,-90.0,273.52,-2.14
-59.842934,-88.75,273.59,-2.05
-59.842934,-87.5,273.64,-1.95
-59.842934,-86.25,273.68,-1.84
-59.842934,-85.0,273.74,-1.72
-59.842934,-83.75,273.8,-1.58
-59.842934,-82.5,273.86,-1.45
-59.842934,-81.25,273.9,-1.32
-59.842934,-80.0,273.94,-1.22
-59.842934,-78.75,273.99,-1.08
-59.842934,-77.5,274.02,-0.97
-59.842934,-76.25,274.02,-0.88
-59.842934,-75.0,273.99,-0.81
-59.842934,-73.75,273.9,-0.77
-59.842934,-72.5,273.81,-0.72
-59.842934,-71.25,273.69,-0.66
-59.842934,-70.0,273.48,-0.62
-59.842934,-68.75,273.14,-0.57
-59.842934,-67.5,272.79,-0.53
-59.842934,-66.25,272.62,-0.49
-59.842934,-65.0,272.6,-0.41
-59.842934,-63.75,272.69,-0.27
-59.842934,-62.5,272.85,-0.12
-59.842934,-61.25,273.01,0.0
-59.842934,-60.0,273.11,0.06
-59.842934,-58.75,273.14,0.1
-59.842934,-57.5,273.09,0.17
-59.842934,-56.25,272.99,0.16
-59.842934,-55.0,272.95,0.11
-59.842934,-53.75,272.94,0.07
-59.842934,-52.5,272.94,-0.01
-59.842934,-51.25,272.95,-0.08
-59.842934,-50.0,272.94,-0.16
