lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,273.1,-1.01
-59.842934,-168.75,273.0,-1.0
-59.842934,-167.5,272.93,-0.97
-59.842934,-166.25,272.87,-0.93
-59.842934,-165.0,272.82,-0.9
-59.842934,-163.75,272.77,-0.86
-59.842934,-162.5,272.71,-0.86
-59.842934,-161.25,272.64,-0.87
-59.842934,-160.0,272.59,-0.87
-59.842934,-158.75,272.57,-0.85
-59.842934,-157.5,272.65,-0.72
-59.842934,-156.25,272.78,-0.61
-59.842934,-155.0,272.88,-0.54
-59.842934,-153.75,273.09,-0.38
-59.842934,-152.5,273.33,-0.21
-59.842934,-151.25,273.55,-0.07
-59.842934,-150.0,273.78,0.05
-59.842934,-148.75,274.0,0.15
-59.842934,-147.5,274.2,0.22
-59.842934,-146.25,274.43,0.23
-59.842934,-145.0,274.63,0.23
-59.842934,-143.75,274.82,0.21
-59.842934,-142.5,274.99,0.19
-59.842934,-141.25,275.15,0.17
-59.842934,-140.0,275.34,0.2
-59.842934,-138.75,275.55,0.26
-59.842934,-137.5,275.75,0.35
-59.842934,-136.25,275.92,0.38
-59.842934,-135.0,276.08,0.43
-59.842934,-133.75,276.19,0.39
-59.842934,-132.5,276.3,0.35
-59.842934,-131.25,276.39,0.32
-59.842934,-130.0,276.46,0.27
-59.842934,-128.75,276.5,0.2
-59.842934,-127.5,276.55,0.13
-59.842934,-126.25,276.6,0.09
-59.842934,-125.0,276.61,0.05
-59.842934,-123.75,276.56,-0.03
-59.842934,-122.5,276.53,-0.1
-59.842934,-121.25,276.5,-0.17
-59.842934,-120.0,276.46,-0.23
-59.842934,-118.75,276.42,-0.27
-59.842934,-117.5,276.42,-0.29
-59.842934,-116.25,276.45,-0.29
-59.842934,-115.0,276.49,-0.26
-59.842934,-113.75,276.53,-0.23
-59.842934,-112.5,276.56,-0.24
-59.842934,-111.25,276.59,-0.26
-59.842934,-110.0,276.59,-0.32
-59.842934,-108.75,276.59,-0.37
-59.842934,-107.5,276.57,-0.41
-59.842934,-106.25,276.54,-0.44
-59.842934,-105.0,276.49,-0.47
-59.842934,-103.75,276.44,-0.46
-59.842934,-102.5,276.39,-0.45
-59.842934,-101.25,276.33,-0.45
-59.842934,-100.0,276.27,-0.48
-59.842934,-98.75,276.23,-0.51
-59.842934,-97.5,276.19,-0.53
-59.842934,-96.25,276.16,-0.52
-59.842934,-95.0,276.15,-0.49
-59.842934,-93.75,276.12,-0.5
-59.842934,-92.5,276.06,-0.54
-59.842934,-91.25,275.99,-0.59
-59.842934,-90.0,275.94,-0.64
-59.842934,-88.75,275.88,-0.7
-59.842934,-87.5,275.82,-0.79
-59.842934,-86.25,275.75,-0.87
-59.842934,-85.0,275.69,-0.93
-59.842934,-83.75,275.63,-0.95
-59.842934,-82.5,275.56,-0.96
-59.842934,-81.25,275.48,-0.96
-59.842934,-80.0,275.37,-0.98
-59.842934,-78.75,275.2,-1.05
-59.842934,-77.5,275.02,-1.12
-59.842934,-76.25,274.8,-1.2
-59.842934,-75.0,274.54,-1.26
-59.842934,-73.75,274.26,-1.3
-59.842934,-72.5,273.97,-1.33
-59.842934,-71.25,273.65,-1.36
-59.842934,-70.0,273.23,-1.41
-59.842934,-68.75,272.67,-1.49
-59.842934,-67.5,272.14,-1.53
-59.842934,-66.25,271.8,-1.59
-59.842934,-65.0,271.58,-1.68
-59.842934,-63.75,271.47,-1.74
-59.842934,-62.5,271.43,-1.74
-59.842934,-61.25,271.4,-1.73
-59.842934,-60.0,271.27,-1.78
-59.842934,-58.75,271.01,-1.92
-59.842934,-57.5,270.64,-2.09
-59.842934,-56.25,270.21,-2.33
-59.842934,-55.0,269.82,-2.54
-59.842934,-53.75,269.46,-2.75
-59.842934,-52.5,269.14,-3.02
-59.842934,-51.25,268.92,-3.23
-59.842934,-50.0,268.76,-3.38
-59.842934,-48.75,268.65,-3.43
-59.842934,-47.5,268.59,-3.41
-59.842934,-46.25,268.6,-3.36
-59.842934,-45.0,268.68,-3.26
-59.842934,-43.75,268.75,-3.14
-59.842934,-42.5,268.75,-3.07
-59.842934,-41.25,268.68,-3.03
-59.842934,-40.0,268.59,-3.02
-59.842934,-38.75,268.49,-3.03
-59.842934,-37.5,268.37,-3.02
-59.842934,-36.25,268.24,-3.01
-59.842934,-35.0,268.14,-2.96
-59.842934,-33.75,268.03,-2.89
-59.842934,-32.5,267.95,-2.84
-59.842934,-31.25,267.88,-2.8
-59.842934,-30.0,267.82,-2.77
-58.900524,-170.0,273.89,-0.91
-58.900524,-168.75,273.82,-0.87
-58.900524,-167.5,273.74,-0.84
-58.900524,-166.25,273.68,-0.82
-58.900524,-165.0,273.61,-0.81
-58.900524,-163.75,273.51,-0.81
-58.900524,-162.5,273.4,-0.83
-58.900524,-161.25,273.3,-0.85
-58.900524,-160.0,273.21,-0.86
-58.900524,-158.75,273.22,-0.77
-58.900524,-157.5,273.27,-0.65
-58.900524,-156.25,273.31,-0.58
-58.900524,-155.0,273.31,-0.56
-58.900524,-153.75,273.42,-0.46
-58.900524,-152.5,273.6,-0.32
-58.900524,-151.25,273.79,-0.2
-58.900524,-150.0,273.99,-0.11
-58.900524,-148.75,274.22,-0.02
-58.900524,-147.5,274.42,0.06
-58.900524,-146.25,274.65,0.11
-58.900524,-145.0,274.85,0.11
-58.900524,-143.75,275.03,0.09
-58.900524,-142.5,275.19,0.09
-58.900524,-141.25,275.34,0.07
-58.900524,-140.0,275.49,0.08
-58.900524,-138.75,275.66,0.12
-58.900524,-137.5,275.85,0.18
-58.900524,-136.25,276.02,0.22
-58.900524,-135.0,276.2,0.26
-58.900524,-133.75,276.35,0.24
-58.900524,-132.5,276.49,0.23
-58.900524,-131.25,276.61,0.22
-58.900524,-130.0,276.7,0.18
-58.900524,-128.75,276.77,0.08
-58.900524,-127.5,276.84,-0.0
-58.900524,-126.25,276.91,-0.05
-58.900524,-125.0,276.94,-0.11
-58.900524,-123.75,276.89,-0.17
-58.900524,-122.5,276.86,-0.23
-58.900524,-121.25,276.82,-0.29
-58.900524,-120.0,276.79,-0.36
-58.900524,-118.75,276.77,-0.38
-58.900524,-117.5,276.77,-0.37
-58.900524,-116.25,276.8,-0.36
-58.900524,-115.0,276.83,-0.35
-58.900524,-113.75,276.88,-0.32
-58.900524,-112.5,276.91,-0.38
-58.900524,-111.25,276.95,-0.42
-58.900524,-110.0,276.97,-0.5
-58.900524,-108.75,276.97,-0.55
-58.900524,-107.5,276.95,-0.59
-58.900524,-106.25,276.92,-0.64
-58.900524,-105.0,276.87,-0.67
-58.900524,-103.75,276.8,-0.69
-58.900524,-102.5,276.74,-0.7
-58.900524,-101.25,276.69,-0.7
-58.900524,-100.0,276.63,-0.71
-58.900524,-98.75,276.6,-0.7
-58.900524,-97.5,276.59,-0.68
-58.900524,-96.25,276.58,-0.65
-58.900524,-95.0,276.58,-0.62
-58.900524,-93.75,276.55,-0.61
-58.900524,-92.5,276.51,-0.63
-58.900524,-91.25,276.47,-0.67
-58.900524,-90.0,276.43,-0.73
-58.900524,-88.75,276.37,-0.81
-58.900524,-87.5,276.32,-0.87
-58.900524,-86.25,276.27,-0.92
-58.900524,-85.0,276.24,-0.94
-58.900524,-83.75,276.2,-0.96
-58.900524,-82.5,276.15,-0.97
-58.900524,-81.25,276.09,-0.96
-58.900524,-80.0,275.99,-0.98
-58.900524,-78.75,275.87,-1.02
-58.900524,-77.5,275.71,-1.09
-58.900524,-76.25,275.53,-1.17
-58.900524,-75.0,275.33,-1.22
-58.900524,-73.75,275.11,-1.24
-58.900524,-72.5,274.86,-1.26
-58.900524,-71.25,274.56,-1.28
-58.900524,-70.0,274.19,-1.33
-58.900524,-68.75,273.68,-1.38
-58.900524,-67.5,273.11,-1.41
-58.900524,-66.25,272.75,-1.43
-58.900524,-65.0,272.54,-1.5
-58.900524,-63.75,272.46,-1.53
-58.900524,-62.5,272.47,-1.54
-58.900524,-61.25,272.47,-1.56
-58.900524,-60.0,272.39,-1.62
-58.900524,-58.75,272.21,-1.73
-58.900524,-57.5,271.97,-1.81
-58.900524,-56.25,271.68,-1.95
-58.900524,-55.0,271.42,-2.07
-58.900524,-53.75,271.17,-2.17
-58.900524,-52.5,270.94,-2.28
-58.900524,-51.25,270.77,-2.36
-58.900524,-50.0,270.61,-2.46
-58.900524,-48.75,270.42,-2.55
-58.900524,-47.5,270.25,-2.58
-58.900524,-46.25,270.16,-2.61
-58.900524,-45.0,270.17,-2.6
-58.900524,-43.75,270.21,-2.54
-58.900524,-42.5,270.22,-2.49
-58.900524,-41.25,270.18,-2.43
-58.900524,-40.0,270.11,-2.37
-58.900524,-38.75,270.03,-2.34
-58.900524,-37.5,269.96,-2.3
-58.900524,-36.25,269.9,-2.25
-58.900524,-35.0,269.85,-2.17
-58.900524,-33.75,269.84,-2.06
-58.900524,-32.5,269.86,-1.94
-58.900524,-31.25,269.88,-1.84
-58.900524,-30.0,269.9,-1.75
-57.958115,-170.0,274.56,-0.84
-57.958115,-168.75,274.5,-0.78
-57.958115,-167.5,274.44,-0.74
-57.958115,-166.25,274.36,-0.75
-57.958115,-165.0,274.25,-0.77
-57.958115,-163.75,274.12,-0.8
-57.958115,-162.5,274.0,-0.82
-57.958115,-161.25,273.88,-0.84
-57.958115,-160.0,273.81,-0.81
-57.958115,-158.75,273.81,-0.71
-57.958115,-157.5,273.79,-0.63
-57.958115,-156.25,273.77,-0.59
-57.958115,-155.0,273.71,-0.59
-57.958115,-153.75,273.74,-0.53
-57.958115,-152.5,273.85,-0.42
-57.958115,-151.25,273.99,-0.32
-57.958115,-150.0,274.14,-0.26
-57.958115,-148.75,274.35,-0.19
-57.958115,-147.5,274.57,-0.1
-57.958115,-146.25,274.79,-0.01
-57.958115,-145.0,274.99,-0.01
-57.958115,-143.75,275.16,-0.03
-57.958115,-142.5,275.33,-0.02
-57.958115,-141.25,275.47,-0.03
-57.958115,-140.0,275.59,-0.03
-57.958115,-138.75,275.72,-0.0
-57.958115,-137.5,275.88,0.05
-57.958115,-136.25,276.03,0.09
-57.958115,-135.0,276.22,0.09
-57.958115,-133.75,276.4,0.09
-57.958115,-132.5,276.58,0.1
-57.958115,-131.25,276.73,0.1
-57.958115,-130.0,276.86,0.07
-57.958115,-128.75,276.97,-0.02
-57.958115,-127.5,277.08,-0.12
-57.958115,-126.25,277.17,-0.19
-57.958115,-125.0,277.22,-0.25
-57.958115,-123.75,277.18,-0.34
-57.958115,-122.5,277.13,-0.41
-57.958115,-121.25,277.11,-0.45
-57.958115,-120.0,277.1,-0.48
-57.958115,-118.75,277.1,-0.49
-57.958115,-117.5,277.11,-0.47
-57.958115,-116.25,277.14,-0.46
-57.958115,-115.0,277.18,-0.46
-57.958115,-113.75,277.23,-0.46
-57.958115,-112.5,277.27,-0.53
-57.958115,-111.25,277.31,-0.61
-57.958115,-110.0,277.32,-0.7
-57.958115,-108.75,277.31,-0.76
-57.958115,-107.5,277.29,-0.82
-57.958115,-106.25,277.27,-0.86
-57.958115,-105.0,277.24,-0.88
-57.958115,-103.75,277.17,-0.9
-57.958115,-102.5,277.11,-0.91
-57.958115,-101.25,277.06,-0.92
