lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,273.97,-1.04
-59.842934,-168.75,274.08,-0.99
-59.842934,-167.5,274.17,-0.93
-59.842934,-166.25,274.23,-0.88
-59.842934,-165.0,274.27,-0.81
-59.842934,-163.75,274.29,-0.72
-59.842934,-162.5,274.28,-0.63
-59.842934,-161.25,274.26,-0.57
-59.842934,-160.0,274.22,-0.51
-59.842934,-158.75,274.19,-0.42
-59.842934,-157.5,274.14,-0.35
-59.842934,-156.25,274.07,-0.34
-59.842934,-155.0,274.0,-0.35
-59.842934,-153.75,273.95,-0.36
-59.842934,-152.5,273.94,-0.35
-59.842934,-151.25,273.96,-0.34
-59.842934,-150.0,273.99,-0.32
-59.842934,-148.75,274.07,-0.29
-59.842934,-147.5,274.15,-0.26
-59.842934,-146.25,274.24,-0.25
-59.842934,-145.0,274.35,-0.26
-59.842934,-143.75,274.45,-0.27
-59.842934,-142.5,274.54,-0.28
-59.842934,-141.25,274.61,-0.26
-59.842934,-140.0,274.69,-0.25
-59.842934,-138.75,274.76,-0.25
-59.842934,-137.5,274.83,-0.24
-59.842934,-136.25,274.91,-0.24
-59.842934,-135.0,274.99,-0.27
-59.842934,-133.75,275.06,-0.3
-59.842934,-132.5,275.12,-0.31
-59.842934,-131.25,275.18,-0.29
-59.842934,-130.0,275.21,-0.31
-59.842934,-128.75,275.23,-0.34
-59.842934,-127.5,275.27,-0.31
-59.842934,-126.25,275.32,-0.27
-59.842934,-125.0,275.34,-0.22
-59.842934,-123.75,275.3,-0.19
-59.842934,-122.5,275.23,-0.2
-59.842934,-121.25,275.15,-0.21
-59.842934,-120.0,275.07,-0.22
-59.842934,-118.75,274.97,-0.24
-59.842934,-117.5,274.87,-0.27
-59.842934,-116.25,274.77,-0.32
-59.842934,-115.0,274.67,-0.39
-59.842934,-113.75,274.61,-0.45
-59.842934,-112.5,274.57,-0.49
-59.842934,-111.25,274.56,-0.5
-59.842934,-110.0,274.52,-0.49
-59.842934,-108.75,274.49,-0.49
-59.842934,-107.5,274.45,-0.48
-59.842934,-106.25,274.41,-0.47
-59.842934,-105.0,274.37,-0.45
-59.842934,-103.75,274.33,-0.42
-59.842934,-102.5,274.26,-0.44
-59.842934,-101.25,274.19,-0.46
-59.842934,-100.0,274.13,-0.46
-59.842934,-98.75,274.07,-0.48
-59.842934,-97.5,274.01,-0.48
-59.842934,-96.25,273.93,-0.48
-59.842934,-95.0,273.84,-0.49
-59.842934,-93.75,273.75,-0.49
-59.842934,-92.5,273.64,-0.49
-59.842934,-91.25,273.53,-0.49
-59.842934,-90.0,273.45,-0.46
-59.842934,-88.75,273.44,-0.4
-59.842934,-87.5,273.45,-0.32
-59.842934,-86.25,273.47,-0.24
-59.842934,-85.0,273.46,-0.18
-59.842934,-83.75,273.41,-0.14
-59.842934,-82.5,273.32,-0.13
-59.842934,-81.25,273.2,-0.13
-59.842934,-80.0,273.06,-0.15
-59.842934,-78.75,272.87,-0.22
-59.842934,-77.5,272.71,-0.25
-59.842934,-76.25,272.53,-0.26
-59.842934,-75.0,272.31,-0.24
-59.842934,-73.75,272.03,-0.24
-59.842934,-72.5,271.72,-0.25
-59.842934,-71.25,271.34,-0.32
-59.842934,-70.0,270.84,-0.44
-59.842934,-68.75,270.1,-0.7
-59.842934,-67.5,269.05,-1.22
-59.842934,-66.25,268.45,-1.47
-59.842934,-65.0,268.29,-1.43
-59.842934,-63.75,268.36,-1.23
-59.842934,-62.5,268.44,-1.08
-59.842934,-61.25,268.41,-0.97
-59.842934,-60.0,268.24,-0.86
-59.842934,-58.75,267.9,-0.73
-59.842934,-57.5,267.39,-0.61
-59.842934,-56.25,266.82,-0.51
-59.842934,-55.0,266.39,-0.51
-59.842934,-53.75,266.08,-0.45
-59.842934,-52.5,265.93,-0.29
-59.842934,-51.25,265.86,-0.17
-59.842934,-50.0,265.85,-0.07
-59.842934,-48.75,265.86,0.04
-59.842934,-47.5,265.91,0.14
-59.842934,-46.25,266.04,0.35
-59.842934,-45.0,266.36,0.68
-59.842934,-43.75,266.73,1.06
-59.842934,-42.5,267.02,1.32
-59.842934,-41.25,267.2,1.43
-59.842934,-40.0,267.34,1.44
-59.842934,-38.75,267.48,1.41
-59.842934,-37.5,267.59,1.32
-59.842934,-36.25,267.67,1.19
-59.842934,-35.0,267.73,1.06
-59.842934,-33.75,267.9,1.06
-59.842934,-32.5,268.03,1.0
-59.842934,-31.25,268.16,0.86
-59.842934,-30.0,268.28,0.67
-58.900524,-170.0,274.67,-0.99
-58.900524,-168.75,274.76,-0.94
-58.900524,-167.5,274.84,-0.89
-58.900524,-166.25,274.92,-0.84
-58.900524,-165.0,274.96,-0.76
-58.900524,-163.75,274.96,-0.67
-58.900524,-162.5,274.93,-0.58
-58.900524,-161.25,274.87,-0.54
-58.900524,-160.0,274.8,-0.48
-58.900524,-158.75,274.73,-0.39
-58.900524,-157.5,274.65,-0.29
-58.900524,-156.25,274.56,-0.25
-58.900524,-155.0,274.46,-0.24
-58.900524,-153.75,274.37,-0.23
-58.900524,-152.5,274.32,-0.19
-58.900524,-151.25,274.31,-0.16
-58.900524,-150.0,274.35,-0.14
-58.900524,-148.75,274.45,-0.11
-58.900524,-147.5,274.56,-0.1
-58.900524,-146.25,274.67,-0.1
-58.900524,-145.0,274.76,-0.11
-58.900524,-143.75,274.84,-0.14
-58.900524,-142.5,274.9,-0.17
-58.900524,-141.25,274.95,-0.19
-58.900524,-140.0,275.01,-0.19
-58.900524,-138.75,275.06,-0.18
-58.900524,-137.5,275.12,-0.16
-58.900524,-136.25,275.19,-0.16
-58.900524,-135.0,275.26,-0.23
-58.900524,-133.75,275.34,-0.29
-58.900524,-132.5,275.46,-0.29
-58.900524,-131.25,275.56,-0.26
-58.900524,-130.0,275.62,-0.3
-58.900524,-128.75,275.67,-0.33
-58.900524,-127.5,275.76,-0.29
-58.900524,-126.25,275.82,-0.24
-58.900524,-125.0,275.83,-0.16
-58.900524,-123.75,275.79,-0.13
-58.900524,-122.5,275.73,-0.12
-58.900524,-121.25,275.64,-0.14
-58.900524,-120.0,275.54,-0.16
-58.900524,-118.75,275.43,-0.18
-58.900524,-117.5,275.33,-0.2
-58.900524,-116.25,275.23,-0.25
-58.900524,-115.0,275.12,-0.33
-58.900524,-113.75,275.04,-0.41
-58.900524,-112.5,275.0,-0.46
-58.900524,-111.25,275.0,-0.48
-58.900524,-110.0,275.0,-0.47
-58.900524,-108.75,274.99,-0.46
-58.900524,-107.5,274.97,-0.43
-58.900524,-106.25,274.95,-0.42
-58.900524,-105.0,274.91,-0.42
