lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,276.22,-1.23
-59.842934,-168.75,276.11,-1.2
-59.842934,-167.5,276.03,-1.19
-59.842934,-166.25,275.95,-1.15
-59.842934,-165.0,275.86,-1.09
-59.842934,-163.75,275.78,-1.04
-59.842934,-162.5,275.69,-1.0
-59.842934,-161.25,275.6,-0.95
-59.842934,-160.0,275.49,-0.9
-59.842934,-158.75,275.37,-0.84
-59.842934,-157.5,275.24,-0.8
-59.842934,-156.25,275.12,-0.77
-59.842934,-155.0,275.02,-0.74
-59.842934,-153.75,274.93,-0.73
-59.842934,-152.5,274.88,-0.74
-59.842934,-151.25,274.86,-0.76
-59.842934,-150.0,274.85,-0.77
-59.842934,-148.75,274.86,-0.78
-59.842934,-147.5,274.89,-0.78
-59.842934,-146.25,274.94,-0.78
-59.842934,-145.0,275.01,-0.77
-59.842934,-143.75,275.09,-0.76
-59.842934,-142.5,275.18,-0.74
-59.842934,-141.25,275.26,-0.73
-59.842934,-140.0,275.33,-0.72
-59.842934,-138.75,275.4,-0.72
-59.842934,-137.5,275.49,-0.68
-59.842934,-136.25,275.58,-0.64
-59.842934,-135.0,275.67,-0.64
-59.842934,-133.75,275.76,-0.67
-59.842934,-132.5,275.84,-0.76
-59.842934,-131.25,275.92,-0.84
-59.842934,-130.0,275.99,-0.92
-59.842934,-128.75,276.06,-0.97
-59.842934,-127.5,276.14,-1.0
-59.842934,-126.25,276.23,-1.02
-59.842934,-125.0,276.31,-1.04
-59.842934,-123.75,276.42,-1.03
-59.842934,-122.5,276.51,-1.02
-59.842934,-121.25,276.6,-1.02
-59.842934,-120.0,276.66,-1.04
-59.842934,-118.75,276.71,-1.07
-59.842934,-117.5,276.74,-1.11
-59.842934,-116.25,276.77,-1.15
-59.842934,-115.0,276.81,-1.19
-59.842934,-113.75,276.86,-1.23
-59.842934,-112.5,276.91,-1.25
-59.842934,-111.25,276.96,-1.25
-59.842934,-110.0,277.02,-1.26
-59.842934,-108.75,277.08,-1.27
-59.842934,-107.5,277.13,-1.25
-59.842934,-106.25,277.17,-1.21
-59.842934,-105.0,277.2,-1.18
-59.842934,-103.75,277.22,-1.16
-59.842934,-102.5,277.24,-1.14
-59.842934,-101.25,277.26,-1.12
-59.842934,-100.0,277.28,-1.1
-59.842934,-98.75,277.3,-1.09
-59.842934,-97.5,277.33,-1.09
-59.842934,-96.25,277.36,-1.08
-59.842934,-95.0,277.39,-1.06
-59.842934,-93.75,277.43,-1.03
-59.842934,-92.5,277.47,-1.01
-59.842934,-91.25,277.53,-0.97
-59.842934,-90.0,277.58,-0.93
-59.842934,-88.75,277.63,-0.89
-59.842934,-87.5,277.66,-0.86
-59.842934,-86.25,277.69,-0.84
-59.842934,-85.0,277.71,-0.81
-59.842934,-83.75,277.72,-0.77
-59.842934,-82.5,277.73,-0.73
-59.842934,-81.25,277.73,-0.69
-59.842934,-80.0,277.74,-0.62
-59.842934,-78.75,277.78,-0.5
-59.842934,-77.5,277.82,-0.38
-59.842934,-76.25,277.83,-0.26
