lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.93,2.76
-59.842934,-168.75,275.85,2.76
-59.842934,-167.5,275.77,2.73
-59.842934,-166.25,275.67,2.68
-59.842934,-165.0,275.55,2.62
-59.842934,-163.75,275.42,2.56
-59.842934,-162.5,275.28,2.49
-59.842934,-161.25,275.14,2.44
-59.842934,-160.0,274.99,2.37
-59.842934,-158.75,274.82,2.31
-59.842934,-157.5,274.63,2.22
-59.842934,-156.25,274.45,2.15
-59.842934,-155.0,274.29,2.06
-59.842934,-153.75,274.14,1.97
-59.842934,-152.5,274.04,1.89
-59.842934,-151.25,273.98,1.82
-59.842934,-150.0,273.96,1.77
-59.842934,-148.75,273.97,1.73
-59.842934,-147.5,274.01,1.72
-59.842934,-146.25,274.1,1.69
-59.842934,-145.0,274.19,1.64
-59.842934,-143.75,274.28,1.58
-59.842934,-142.5,274.38,1.52
-59.842934,-141.25,274.49,1.47
-59.842934,-140.0,274.59,1.4
-59.842934,-138.75,274.7,1.33
-59.842934,-137.5,274.8,1.25
-59.842934,-136.25,274.89,1.16
-59.842934,-135.0,274.98,1.06
-59.842934,-133.75,275.06,0.97
-59.842934,-132.5,275.16,0.88
-59.842934,-131.25,275.26,0.8
-59.842934,-130.0,275.35,0.72
-59.842934,-128.75,275.45,0.64
-59.842934,-127.5,275.55,0.57
-59.842934,-126.25,275.63,0.5
-59.842934,-125.0,275.68,0.43
-59.842934,-123.75,275.73,0.36
-59.842934,-122.5,275.75,0.3
-59.842934,-121.25,275.78,0.26
-59.842934,-120.0,275.81,0.22
-59.842934,-118.75,275.85,0.17
-59.842934,-117.5,275.89,0.13
-59.842934,-116.25,275.92,0.08
-59.842934,-115.0,275.94,0.05
-59.842934,-113.75,275.98,0.02
-59.842934,-112.5,276.03,0.01
-59.842934,-111.25,276.08,0.01
-59.842934,-110.0,276.12,-0.0
-59.842934,-108.75,276.15,-0.01
-59.842934,-107.5,276.17,-0.02
-59.842934,-106.25,276.19,-0.04
-59.842934,-105.0,276.2,-0.06
-59.842934,-103.75,276.21,-0.1
-59.842934,-102.5,276.22,-0.14
-59.842934,-101.25,276.25,-0.17
-59.842934,-100.0,276.29,-0.16
-59.842934,-98.75,276.32,-0.17
-59.842934,-97.5,276.34,-0.18
-59.842934,-96.25,276.36,-0.2
-59.842934,-95.0,276.37,-0.22
-59.842934,-93.75,276.4,-0.23
-59.842934,-92.5,276.44,-0.21
-59.842934,-91.25,276.48,-0.2
-59.842934,-90.0,276.53,-0.18
-59.842934,-88.75,276.57,-0.15
-59.842934,-87.5,276.62,-0.12
-59.842934,-86.25,276.67,-0.08
-59.842934,-85.0,276.72,-0.02
-59.842934,-83.75,276.75,0.04
-59.842934,-82.5,276.78,0.1
-59.842934,-81.25,276.79,0.18
-59.842934,-80.0,276.8,0.27
-59.842934,-78.75,276.82,0.39
-59.842934,-77.5,276.82,0.46
-59.842934,-76.25,276.79,0.52
-59.842934,-75.0,276.74,0.57
-59.842934,-73.75,276.66,0.64
-59.842934,-72.5,276.57,0.71
-59.842934,-71.25,276.45,0.79
-59.842934,-70.0,276.28,0.9
-59.842934,-68.75,276.05,1.03
-59.842934,-67.5,275.82,1.13
-59.842934,-66.25,275.73,1.24
-59.842934,-65.0,275.71,1.36
-59.842934,-63.75,275.75,1.46
-59.842934,-62.5,275.81,1.53
-59.842934,-61.25,275.87,1.59
-59.842934,-60.0,275.87,1.64
-59.842934,-58.75,275.82,1.67
-59.842934,-57.5,275.73,1.69
-59.842934,-56.25,275.62,1.71
-59.842934,-55.0,275.54,1.72
-59.842934,-53.75,275.49,1.73
-59.842934,-52.5,275.45,1.75
-59.842934,-51.25,275.42,1.79
-59.842934,-50.0,275.38,1.83
-59.842934,-48.75,275.3,1.87
