lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,276.57,-1.29
-59.842934,-168.75,276.57,-1.22
-59.842934,-167.5,276.57,-1.14
-59.842934,-166.25,276.57,-1.06
-59.842934,-165.0,276.55,-0.99
-59.842934,-163.75,276.51,-0.92
-59.842934,-162.5,276.46,-0.85
-59.842934,-161.25,276.39,-0.79
-59.842934,-160.0,276.31,-0.73
-59.842934,-158.75,276.2,-0.68
-59.842934,-157.5,276.02,-0.67
-59.842934,-156.25,275.83,-0.69
-59.842934,-155.0,275.64,-0.7
-59.842934,-153.75,275.49,-0.7
-59.842934,-152.5,275.4,-0.7
-59.842934,-151.25,275.37,-0.69
-59.842934,-150.0,275.38,-0.68
-59.842934,-148.75,275.4,-0.67
-59.842934,-147.5,275.43,-0.65
-59.842934,-146.25,275.5,-0.61
-59.842934,-145.0,275.57,-0.58
-59.842934,-143.75,275.64,-0.58
-59.842934,-142.5,275.73,-0.56
-59.842934,-141.25,275.82,-0.55
-59.842934,-140.0,275.89,-0.56
-59.842934,-138.75,275.95,-0.58
-59.842934,-137.5,276.0,-0.62
-59.842934,-136.25,276.05,-0.66
-59.842934,-135.0,276.09,-0.72
-59.842934,-133.75,276.15,-0.76
-59.842934,-132.5,276.21,-0.78
-59.842934,-131.25,276.26,-0.8
-59.842934,-130.0,276.33,-0.78
-59.842934,-128.75,276.41,-0.75
-59.842934,-127.5,276.5,-0.71
-59.842934,-126.25,276.57,-0.7
-59.842934,-125.0,276.63,-0.69
-59.842934,-123.75,276.69,-0.68
-59.842934,-122.5,276.73,-0.68
-59.842934,-121.25,276.76,-0.67
-59.842934,-120.0,276.76,-0.68
-59.842934,-118.75,276.77,-0.67
-59.842934,-117.5,276.8,-0.65
-59.842934,-116.25,276.85,-0.61
-59.842934,-115.0,276.93,-0.56
-59.842934,-113.75,277.03,-0.5
-59.842934,-112.5,277.12,-0.46
-59.842934,-111.25,277.22,-0.4
-59.842934,-110.0,277.26,-0.41
-59.842934,-108.75,277.27,-0.44
-59.842934,-107.5,277.28,-0.49
-59.842934,-106.25,277.28,-0.53
-59.842934,-105.0,277.27,-0.57
-59.842934,-103.75,277.28,-0.6
-59.842934,-102.5,277.28,-0.64
-59.842934,-101.25,277.3,-0.67
-59.842934,-100.0,277.31,-0.7
-59.842934,-98.75,277.33,-0.71
-59.842934,-97.5,277.33,-0.72
-59.842934,-96.25,277.32,-0.74
-59.842934,-95.0,277.3,-0.78
-59.842934,-93.75,277.29,-0.82
-59.842934,-92.5,277.32,-0.83
-59.842934,-91.25,277.34,-0.85
-59.842934,-90.0,277.37,-0.84
-59.842934,-88.75,277.36,-0.88
-59.842934,-87.5,277.35,-0.9
-59.842934,-86.25,277.34,-0.91
-59.842934,-85.0,277.33,-0.94
-59.842934,-83.75,277.31,-0.97
