lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.86,0.82
-59.842934,-168.75,275.76,0.77
-59.842934,-167.5,275.64,0.7
-59.842934,-166.25,275.54,0.67
-59.842934,-165.0,275.43,0.63
-59.842934,-163.75,275.32,0.6
-59.842934,-162.5,275.2,0.58
-59.842934,-161.25,275.08,0.55
-59.842934,-160.0,274.96,0.54
-59.842934,-158.75,274.86,0.54
-59.842934,-157.5,274.73,0.54
-59.842934,-156.25,274.6,0.53
-59.842934,-155.0,274.47,0.52
-59.842934,-153.75,274.36,0.52
-59.842934,-152.5,274.28,0.5
-59.842934,-151.25,274.24,0.46
-59.842934,-150.0,274.22,0.43
-59.842934,-148.75,274.24,0.4
-59.842934,-147.5,274.27,0.36
-59.842934,-146.25,274.33,0.33
-59.842934,-145.0,274.4,0.32
-59.842934,-143.75,274.47,0.31
-59.842934,-142.5,274.53,0.3
-59.842934,-141.25,274.61,0.3
-59.842934,-140.0,274.7,0.31
-59.842934,-138.75,274.8,0.33
-59.842934,-137.5,274.9,0.34
-59.842934,-136.25,275.0,0.36
-59.842934,-135.0,275.1,0.36
-59.842934,-133.75,275.21,0.35
-59.842934,-132.5,275.34,0.36
-59.842934,-131.25,275.47,0.38
-59.842934,-130.0,275.61,0.4
-59.842934,-128.75,275.74,0.41
-59.842934,-127.5,275.86,0.42
-59.842934,-126.25,275.94,0.41
-59.842934,-125.0,275.98,0.39
-59.842934,-123.75,276.0,0.37
-59.842934,-122.5,276.0,0.36
-59.842934,-121.25,276.01,0.37
-59.842934,-120.0,276.01,0.37
-59.842934,-118.75,276.0,0.37
-59.842934,-117.5,275.99,0.38
-59.842934,-116.25,275.98,0.38
-59.842934,-115.0,275.98,0.4
-59.842934,-113.75,275.99,0.41
-59.842934,-112.5,276.04,0.44
-59.842934,-111.25,276.1,0.46
-59.842934,-110.0,276.16,0.5
-59.842934,-108.75,276.21,0.54
-59.842934,-107.5,276.27,0.6
-59.842934,-106.25,276.31,0.66
-59.842934,-105.0,276.34,0.71
-59.842934,-103.75,276.36,0.75
-59.842934,-102.5,276.38,0.8
-59.842934,-101.25,276.4,0.84
-59.842934,-100.0,276.42,0.89
-59.842934,-98.75,276.47,0.97
-59.842934,-97.5,276.51,1.05
-59.842934,-96.25,276.55,1.11
-59.842934,-95.0,276.59,1.17
-59.842934,-93.75,276.64,1.23
-59.842934,-92.5,276.7,1.3
-59.842934,-91.25,276.76,1.37
-59.842934,-90.0,276.83,1.44
-59.842934,-88.75,276.89,1.48
-59.842934,-87.5,276.93,1.51
-59.842934,-86.25,276.97,1.54
-59.842934,-85.0,277.0,1.6
-59.842934,-83.75,277.04,1.66
-59.842934,-82.5,277.08,1.73
-59.842934,-81.25,277.1,1.78
-59.842934,-80.0,277.11,1.84
-59.842934,-78.75,277.1,1.87
-59.842934,-77.5,277.07,1.88
-59.842934,-76.25,277.03,1.9
-59.842934,-75.0,276.97,1.92
-59.842934,-73.75,276.9,1.96
-59.842934,-72.5,276.8,2.0
-59.842934,-71.25,276.66,2.01
-59.842934,-70.0,276.45,2.03
-59.842934,-68.75,276.17,2.04
-59.842934,-67.5,275.9,2.04
-59.842934,-66.25,275.79,2.08
-59.842934,-65.0,275.81,2.17
-59.842934,-63.75,275.9,2.27
-59.842934,-62.5,276.05,2.38
-59.842934,-61.25,276.22,2.46
-59.842934,-60.0,276.29,2.47
-59.842934,-58.75,276.23,2.39
-59.842934,-57.5,276.08,2.26
-59.842934,-56.25,275.94,2.2
-59.842934,-55.0,275.87,2.2
-59.842934,-53.75,275.8,2.17
-59.842934,-52.5,275.73,2.12
-59.842934,-51.25,275.64,2.05
-59.842934,-50.0,275.57,2.0
-59.842934,-48.75,275.5,2.0
-59.842934,-47.5,275.39,2.01
-59.842934,-46.25,275.25,2.0
-59.842934,-45.0,275.11,1.98
-59.842934,-43.75,275.02,1.95
-59.842934,-42.5,274.9,1.89
-59.842934,-41.25,274.74,1.8
-59.842934,-40.0,274.58,1.71
-59.842934,-38.75,274.43,1.63
-59.842934,-37.5,274.31,1.6
-59.842934,-36.25,274.18,1.57
-59.842934,-35.0,274.03,1.52
-59.842934,-33.75,273.9,1.47
-59.842934,-32.5,273.82,1.47
-59.842934,-31.25,273.73,1.45
-59.842934,-30.0,273.65,1.43
-58.900524,-170.0,276.51,0.75
-58.900524,-168.75,276.41,0.73
-58.900524,-167.5,276.3,0.7
-58.900524,-166.25,276.19,0.66
-58.900524,-165.0,276.06,0.62
-58.900524,-163.75,275.93,0.58
-58.900524,-162.5,275.8,0.55
-58.900524,-161.25,275.67,0.53
-58.900524,-160.0,275.54,0.53
-58.900524,-158.75,275.42,0.54
-58.900524,-157.5,275.28,0.55
-58.900524,-156.25,275.14,0.52
-58.900524,-155.0,274.98,0.5
-58.900524,-153.75,274.84,0.49
-58.900524,-152.5,274.75,0.47
-58.900524,-151.25,274.7,0.46
-58.900524,-150.0,274.69,0.45
-58.900524,-148.75,274.72,0.43
-58.900524,-147.5,274.77,0.4
-58.900524,-146.25,274.85,0.37
-58.900524,-145.0,274.93,0.35
-58.900524,-143.75,275.0,0.34
-58.900524,-142.5,275.05,0.32
-58.900524,-141.25,275.1,0.3
-58.900524,-140.0,275.17,0.31
-58.900524,-138.75,275.24,0.33
-58.900524,-137.5,275.32,0.36
-58.900524,-136.25,275.4,0.39
-58.900524,-135.0,275.5,0.4
-58.900524,-133.75,275.62,0.4
-58.900524,-132.5,275.76,0.41
-58.900524,-131.25,275.91,0.42
-58.900524,-130.0,276.07,0.43
-58.900524,-128.75,276.24,0.44
-58.900524,-127.5,276.38,0.43
-58.900524,-126.25,276.48,0.4
-58.900524,-125.0,276.52,0.36
-58.900524,-123.75,276.53,0.35
-58.900524,-122.5,276.51,0.34
-58.900524,-121.25,276.51,0.33
-58.900524,-120.0,276.5,0.33
-58.900524,-118.75,276.48,0.34
-58.900524,-117.5,276.46,0.34
-58.900524,-116.25,276.45,0.34
-58.900524,-115.0,276.46,0.34
-58.900524,-113.75,276.48,0.34
-58.900524,-112.5,276.54,0.36
-58.900524,-111.25,276.62,0.39
-58.900524,-110.0,276.68,0.42
-58.900524,-108.75,276.74,0.46
-58.900524,-107.5,276.8,0.51
-58.900524,-106.25,276.84,0.57
-58.900524,-105.0,276.87,0.61
-58.900524,-103.75,276.89,0.65
