lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,276.44,1.06
-59.842934,-168.75,276.33,1.01
-59.842934,-167.5,276.22,0.97
-59.842934,-166.25,276.11,0.93
-59.842934,-165.0,275.99,0.9
-59.842934,-163.75,275.86,0.87
-59.842934,-162.5,275.72,0.83
-59.842934,-161.25,275.56,0.79
-59.842934,-160.0,275.41,0.74
-59.842934,-158.75,275.27,0.7
-59.842934,-157.5,275.11,0.65
-59.842934,-156.25,274.97,0.61
-59.842934,-155.0,274.84,0.57
-59.842934,-153.75,274.76,0.56
-59.842934,-152.5,274.71,0.56
-59.842934,-151.25,274.69,0.55
-59.842934,-150.0,274.67,0.53
-59.842934,-148.75,274.68,0.51
-59.842934,-147.5,274.7,0.49
-59.842934,-146.25,274.75,0.47
-59.842934,-145.0,274.8,0.44
-59.842934,-143.75,274.87,0.43
-59.842934,-142.5,274.94,0.42
-59.842934,-141.25,275.01,0.43
-59.842934,-140.0,275.1,0.45
-59.842934,-138.75,275.19,0.46
-59.842934,-137.5,275.27,0.47
-59.842934,-136.25,275.35,0.47
-59.842934,-135.0,275.44,0.47
-59.842934,-133.75,275.54,0.49
-59.842934,-132.5,275.64,0.51
-59.842934,-131.25,275.74,0.53
-59.842934,-130.0,275.85,0.56
-59.842934,-128.75,275.96,0.59
-59.842934,-127.5,276.06,0.61
-59.842934,-126.25,276.16,0.63
-59.842934,-125.0,276.25,0.65
-59.842934,-123.75,276.31,0.67
-59.842934,-122.5,276.36,0.68
-59.842934,-121.25,276.4,0.69
-59.842934,-120.0,276.42,0.69
-59.842934,-118.75,276.44,0.71
-59.842934,-117.5,276.47,0.72
-59.842934,-116.25,276.49,0.74
-59.842934,-115.0,276.5,0.77
-59.842934,-113.75,276.54,0.81
-59.842934,-112.5,276.59,0.85
-59.842934,-111.25,276.62,0.88
-59.842934,-110.0,276.66,0.88
-59.842934,-108.75,276.68,0.88
-59.842934,-107.5,276.69,0.86
-59.842934,-106.25,276.7,0.82
-59.842934,-105.0,276.71,0.79
-59.842934,-103.75,276.73,0.75
-59.842934,-102.5,276.76,0.71
-59.842934,-101.25,276.8,0.67
-59.842934,-100.0,276.86,0.63
-59.842934,-98.75,276.9,0.59
-59.842934,-97.5,276.92,0.55
-59.842934,-96.25,276.93,0.52
-59.842934,-95.0,276.94,0.49
-59.842934,-93.75,276.98,0.47
-59.842934,-92.5,277.02,0.43
-59.842934,-91.25,277.08,0.4
-59.842934,-90.0,277.14,0.36
-59.842934,-88.75,277.18,0.31
-59.842934,-87.5,277.21,0.25
-59.842934,-86.25,277.23,0.18
-59.842934,-85.0,277.25,0.12
-59.842934,-83.75,277.27,0.08
-59.842934,-82.5,277.31,0.05
-59.842934,-81.25,277.34,0.03
-59.842934,-80.0,277.38,0.02
-59.842934,-78.75,277.42,0.04
-59.842934,-77.5,277.46,0.06
-59.842934,-76.25,277.49,0.08
-59.842934,-75.0,277.51,0.11
-59.842934,-73.75,277.51,0.14
-59.842934,-72.5,277.49,0.17
-59.842934,-71.25,277.46,0.21
-59.842934,-70.0,277.39,0.27
-59.842934,-68.75,277.25,0.34
-59.842934,-67.5,277.09,0.42
-59.842934,-66.25,277.01,0.48
-59.842934,-65.0,276.99,0.52
-59.842934,-63.75,277.02,0.56
-59.842934,-62.5,277.07,0.58
-59.842934,-61.25,277.14,0.59
-59.842934,-60.0,277.18,0.63
-59.842934,-58.75,277.19,0.7
-59.842934,-57.5,277.19,0.77
-59.842934,-56.25,277.15,0.81
-59.842934,-55.0,277.16,0.93
-59.842934,-53.75,277.17,1.02
-59.842934,-52.5,277.18,1.1
-59.842934,-51.25,277.17,1.16
-59.842934,-50.0,277.14,1.22
-59.842934,-48.75,277.08,1.29
-59.842934,-47.5,276.99,1.35
-59.842934,-46.25,276.89,1.41
-59.842934,-45.0,276.83,1.49
-59.842934,-43.75,276.8,1.54
-59.842934,-42.5,276.75,1.59
-59.842934,-41.25,276.68,1.64
-59.842934,-40.0,276.61,1.71
-59.842934,-38.75,276.55,1.79
-59.842934,-37.5,276.47,1.86
-59.842934,-36.25,276.38,1.92
-59.842934,-35.0,276.27,1.95
-59.842934,-33.75,276.13,1.94
-59.842934,-32.5,275.97,1.89
-59.842934,-31.25,275.82,1.84
-59.842934,-30.0,275.69,1.79
-58.900524,-170.0,277.08,0.99
-58.900524,-168.75,276.97,0.96
-58.900524,-167.5,276.87,0.94
-58.900524,-166.25,276.77,0.92
-58.900524,-165.0,276.65,0.9
-58.900524,-163.75,276.51,0.87
-58.900524,-162.5,276.35,0.85
-58.900524,-161.25,276.19,0.8
-58.900524,-160.0,276.03,0.76
-58.900524,-158.75,275.89,0.74
-58.900524,-157.5,275.72,0.72
-58.900524,-156.25,275.57,0.69
-58.900524,-155.0,275.42,0.67
-58.900524,-153.75,275.31,0.67
-58.900524,-152.5,275.22,0.67
-58.900524,-151.25,275.16,0.66
-58.900524,-150.0,275.13,0.65
-58.900524,-148.75,275.12,0.62
-58.900524,-147.5,275.14,0.6
-58.900524,-146.25,275.19,0.57
-58.900524,-145.0,275.25,0.54
-58.900524,-143.75,275.32,0.52
-58.900524,-142.5,275.39,0.51
-58.900524,-141.25,275.46,0.51
-58.900524,-140.0,275.53,0.52
-58.900524,-138.75,275.61,0.52
-58.900524,-137.5,275.68,0.53
-58.900524,-136.25,275.77,0.53
-58.900524,-135.0,275.87,0.54
-58.900524,-133.75,275.99,0.56
-58.900524,-132.5,276.11,0.57
-58.900524,-131.25,276.24,0.59
-58.900524,-130.0,276.38,0.61
-58.900524,-128.75,276.51,0.62
-58.900524,-127.5,276.63,0.63
-58.900524,-126.25,276.72,0.64
-58.900524,-125.0,276.8,0.66
-58.900524,-123.75,276.85,0.67
-58.900524,-122.5,276.89,0.69
-58.900524,-121.25,276.92,0.7
-58.900524,-120.0,276.95,0.72
-58.900524,-118.75,276.98,0.74
-58.900524,-117.5,276.99,0.76
-58.900524,-116.25,277.01,0.78
-58.900524,-115.0,277.04,0.82
-58.900524,-113.75,277.07,0.86
-58.900524,-112.5,277.11,0.9
-58.900524,-111.25,277.15,0.92
-58.900524,-110.0,277.18,0.92
-58.900524,-108.75,277.2,0.91
-58.900524,-107.5,277.22,0.88
-58.900524,-106.25,277.23,0.85
-58.900524,-105.0,277.24,0.81
-58.900524,-103.75,277.24,0.77
-58.900524,-102.5,277.25,0.72
-58.900524,-101.25,277.27,0.67
-58.900524,-100.0,277.31,0.62
-58.900524,-98.75,277.33,0.57
-58.900524,-97.5,277.35,0.53
-58.900524,-96.25,277.35,0.49
-58.900524,-95.0,277.37,0.45
-58.900524,-93.75,277.4,0.4
-58.900524,-92.5,277.44,0.35
-58.900524,-91.25,277.5,0.31
-58.900524,-90.0,277.56,0.25
-58.900524,-88.75,277.62,0.2
-58.900524,-87.5,277.65,0.14
-58.900524,-86.25,277.67,0.09
-58.900524,-85.0,277.68,0.04
-58.900524,-83.75,277.71,0.0
-58.900524,-82.5,277.75,-0.02
-58.900524,-81.25,277.78,-0.03
-58.900524,-80.0,277.82,-0.03
-58.900524,-78.75,277.86,-0.02
-58.900524,-77.5,277.89,0.0
-58.900524,-76.25,277.93,0.02
-58.900524,-75.0,277.95,0.04
-58.900524,-73.75,277.96,0.05
-58.900524,-72.5,277.95,0.06
-58.900524,-71.25,277.93,0.08
-58.900524,-70.0,277.87,0.11
-58.900524,-68.75,277.77,0.16
-58.900524,-67.5,277.61,0.22
-58.900524,-66.25,277.52,0.3
-58.900524,-65.0,277.51,0.36
-58.900524,-63.75,277.56,0.41
-58.900524,-62.5,277.66,0.44
-58.900524,-61.25,277.77,0.45
-58.900524,-60.0,277.83,0.5
-58.900524,-58.75,277.84,0.58
-58.900524,-57.5,277.84,0.65
-58.900524,-56.25,277.84,0.73
-58.900524,-55.0,277.87,0.88
-58.900524,-53.75,277.91,1.04
-58.900524,-52.5,277.92,1.14
-58.900524,-51.25,277.92,1.2
-58.900524,-50.0,277.89,1.25
-58.900524,-48.75,277.81,1.32
-58.900524,-47.5,277.69,1.37
-58.900524,-46.25,277.58,1.43
-58.900524,-45.0,277.53,1.53
-58.900524,-43.75,277.52,1.57
-58.900524,-42.5,277.5,1.63
-58.900524,-41.25,277.44,1.7
-58.900524,-40.0,277.35,1.79
-58.900524,-38.75,277.26,1.89
-58.900524,-37.5,277.15,1.98
-58.900524,-36.25,277.03,2.04
-58.900524,-35.0,276.9,2.06
-58.900524,-33.75,276.74,2.05
-58.900524,-32.5,276.57,2.0
-58.900524,-31.25,276.43,1.94
-58.900524,-30.0,276.31,1.9
-57.958115,-170.0,277.67,0.93
-57.958115,-168.75,277.56,0.92
-57.958115,-167.5,277.47,0.91
-57.958115,-166.25,277.38,0.89
-57.958115,-165.0,277.27,0.86
-57.958115,-163.75,277.13,0.84
-57.958115,-162.5,276.98,0.83
-57.958115,-161.25,276.82,0.81
-57.958115,-160.0,276.66,0.79
-57.958115,-158.75,276.5,0.77
-57.958115,-157.5,276.33,0.76
-57.958115,-156.25,276.16,0.72
-57.958115,-155.0,275.98,0.71
-57.958115,-153.75,275.84,0.7
-57.958115,-152.5,275.72,0.71
-57.958115,-151.25,275.64,0.72
-57.958115,-150.0,275.59,0.71
-57.958115,-148.75,275.57,0.7
-57.958115,-147.5,275.58,0.68
-57.958115,-146.25,275.65,0.68
-57.958115,-145.0,275.72,0.66
-57.958115,-143.75,275.8,0.65
-57.958115,-142.5,275.88,0.64
-57.958115,-141.25,275.95,0.63
-57.958115,-140.0,276.01,0.62
-57.958115,-138.75,276.06,0.61
-57.958115,-137.5,276.11,0.62
-57.958115,-136.25,276.18,0.64
-57.958115,-135.0,276.27,0.64
-57.958115,-133.75,276.38,0.66
-57.958115,-132.5,276.52,0.67
-57.958115,-131.25,276.66,0.68
-57.958115,-130.0,276.81,0.69
-57.958115,-128.75,276.97,0.71
-57.958115,-127.5,277.12,0.72
-57.958115,-126.25,277.25,0.73
-57.958115,-125.0,277.32,0.72
-57.958115,-123.75,277.37,0.72
-57.958115,-122.5,277.39,0.72
-57.958115,-121.25,277.42,0.73
-57.958115,-120.0,277.45,0.75
-57.958115,-118.75,277.48,0.77
-57.958115,-117.5,277.49,0.8
-57.958115,-116.25,277.5,0.83
-57.958115,-115.0,277.53,0.86
-57.958115,-113.75,277.55,0.89
-57.958115,-112.5,277.59,0.91
-57.958115,-111.25,277.63,0.92
-57.958115,-110.0,277.67,0.92
-57.958115,-108.75,277.7,0.91
-57.958115,-107.5,277.73,0.89
-57.958115,-106.25,277.75,0.86
-57.958115,-105.0,277.75,0.82
-57.958115,-103.75,277.75,0.77
-57.958115,-102.5,277.73,0.72
-57.958115,-101.25,277.73,0.65
-57.958115,-100.0,277.75,0.6
-57.958115,-98.75,277.77,0.54
-57.958115,-97.5,277.79,0.5
-57.958115,-96.25,277.79,0.45
-57.958115,-95.0,277.81,0.4
-57.958115,-93.75,277.84,0.34
-57.958115,-92.5,277.87,0.29
-57.958115,-91.25,277.92,0.24
-57.958115,-90.0,277.98,0.19
-57.958115,-88.75,278.04,0.15
-57.958115,-87.5,278.08,0.11
-57.958115,-86.25,278.1,0.07
-57.958115,-85.0,278.12,0.03
-57.958115,-83.75,278.15,0.01
-57.958115,-82.5,278.19,-0.01
-57.958115,-81.25,278.22,-0.02
-57.958115,-80.0,278.25,-0.02
-57.958115,-78.75,278.29,-0.02
-57.958115,-77.5,278.33,-0.01
-57.958115,-76.25,278.37,-0.01
-57.958115,-75.0,278.4,-0.01
-57.958115,-73.75,278.43,-0.01
-57.958115,-72.5,278.46,-0.02
-57.958115,-71.25,278.49,-0.02
-57.958115,-70.0,278.51,-0.05
-57.958115,-68.75,278.49,-0.08
-57.958115,-67.5,278.38,-0.06
-57.958115,-66.25,278.23,0.02
-57.958115,-65.0,278.13,0.15
-57.958115,-63.75,278.14,0.26
-57.958115,-62.5,278.23,0.32
-57.958115,-61.25,278.36,0.37
-57.958115,-60.0,278.47,0.44
-57.958115,-58.75,278.53,0.54
-57.958115,-57.5,278.55,0.63
-57.958115,-56.25,278.56,0.76
-57.958115,-55.0,278.6,0.94
-57.958115,-53.75,278.64,1.09
-57.958115,-52.5,278.66,1.2
-57.958115,-51.25,278.65,1.27
-57.958115,-50.0,278.62,1.32
-57.958115,-48.75,278.53,1.38
-57.958115,-47.5,278.38,1.44
-57.958115,-46.25,278.25,1.51
-57.958115,-45.0,278.19,1.57
-57.958115,-43.75,278.16,1.61
-57.958115,-42.5,278.14,1.67
-57.958115,-41.25,278.08,1.77
-57.958115,-40.0,277.97,1.88
-57.958115,-38.75,277.84,1.99
-57.958115,-37.5,277.7,2.08
-57.958115,-36.25,277.57,2.13
-57.958115,-35.0,277.43,2.14
-57.958115,-33.75,277.27,2.12
-57.958115,-32.5,277.15,2.09
-57.958115,-31.25,277.02,2.02
-57.958115,-30.0,276.94,1.99
-57.015705,-170.0,278.29,0.92
-57.015705,-168.75,278.17,0.92
-57.015705,-167.5,278.07,0.91
-57.015705,-166.25,277.99,0.89
-57.015705,-165.0,277.89,0.87
-57.015705,-163.75,277.74,0.86
-57.015705,-162.5,277.59,0.84
-57.015705,-161.25,277.44,0.83
-57.015705,-160.0,277.29,0.81
-57.015705,-158.75,277.13,0.8
-57.015705,-157.5,276.93,0.77
-57.015705,-156.25,276.74,0.74
-57.015705,-155.0,276.56,0.73
-57.015705,-153.75,276.4,0.72
-57.015705,-152.5,276.28,0.72
-57.015705,-151.25,276.18,0.72
-57.015705,-150.0,276.11,0.73
-57.015705,-148.75,276.06,0.73
-57.015705,-147.5,276.06,0.74
-57.015705,-146.25,276.11,0.74
-57.015705,-145.0,276.18,0.74
-57.015705,-143.75,276.28,0.74
-57.015705,-142.5,276.38,0.74
-57.015705,-141.25,276.47,0.74
-57.015705,-140.0,276.53,0.72
-57.015705,-138.75,276.56,0.72
-57.015705,-137.5,276.58,0.72
-57.015705,-136.25,276.6,0.72
-57.015705,-135.0,276.66,0.73
-57.015705,-133.75,276.77,0.75
-57.015705,-132.5,276.9,0.77
-57.015705,-131.25,277.06,0.78
-57.015705,-130.0,277.23,0.8
-57.015705,-128.75,277.42,0.82
-57.015705,-127.5,277.6,0.82
-57.015705,-126.25,277.75,0.82
-57.015705,-125.0,277.84,0.81
-57.015705,-123.75,277.88,0.8
-57.015705,-122.5,277.9,0.81
-57.015705,-121.25,277.93,0.82
-57.015705,-120.0,277.95,0.83
-57.015705,-118.75,277.97,0.86
-57.015705,-117.5,277.98,0.88
-57.015705,-116.25,277.98,0.9
-57.015705,-115.0,277.99,0.92
-57.015705,-113.75,278.01,0.93
-57.015705,-112.5,278.04,0.93
-57.015705,-111.25,278.08,0.93
-57.015705,-110.0,278.14,0.94
-57.015705,-108.75,278.19,0.93
-57.015705,-107.5,278.23,0.91
-57.015705,-106.25,278.26,0.89
-57.015705,-105.0,278.27,0.85
-57.015705,-103.75,278.28,0.81
-57.015705,-102.5,278.26,0.75
-57.015705,-101.25,278.25,0.69
-57.015705,-100.0,278.25,0.62
-57.015705,-98.75,278.27,0.57
-57.015705,-97.5,278.29,0.51
-57.015705,-96.25,278.3,0.44
-57.015705,-95.0,278.31,0.38
-57.015705,-93.75,278.33,0.33
-57.015705,-92.5,278.36,0.29
-57.015705,-91.25,278.39,0.23
-57.015705,-90.0,278.43,0.18
-57.015705,-88.75,278.48,0.15
-57.015705,-87.5,278.52,0.12
-57.015705,-86.25,278.55,0.09
-57.015705,-85.0,278.58,0.07
-57.015705,-83.75,278.62,0.06
-57.015705,-82.5,278.67,0.06
-57.015705,-81.25,278.7,0.05
-57.015705,-80.0,278.75,0.05
-57.015705,-78.75,278.78,0.04
-57.015705,-77.5,278.83,0.04
-57.015705,-76.25,278.87,0.02
-57.015705,-75.0,278.93,-0.01
-57.015705,-73.75,279.02,-0.03
-57.015705,-72.5,279.12,-0.06
-57.015705,-71.25,279.22,-0.09
-57.015705,-70.0,279.29,-0.13
-57.015705,-68.75,279.31,-0.19
-57.015705,-67.5,279.32,-0.23
-57.015705,-66.25,279.18,-0.23
-57.015705,-65.0,278.98,-0.08
-57.015705,-63.75,278.85,0.11
-57.015705,-62.5,278.85,0.24
-57.015705,-61.25,278.93,0.34
-57.015705,-60.0,279.05,0.44
-57.015705,-58.75,279.16,0.54
-57.015705,-57.5,279.23,0.67
-57.015705,-56.25,279.28,0.86
-57.015705,-55.0,279.3,1.0
-57.015705,-53.75,279.32,1.13
-57.015705,-52.5,279.32,1.23
-57.015705,-51.25,279.31,1.3
-57.015705,-50.0,279.29,1.36
-57.015705,-48.75,279.23,1.43
-57.015705,-47.5,279.11,1.5
-57.015705,-46.25,278.99,1.59
-57.015705,-45.0,278.89,1.62
-57.015705,-43.75,278.8,1.66
-57.015705,-42.5,278.73,1.74
-57.015705,-41.25,278.63,1.85
-57.015705,-40.0,278.48,1.97
-57.015705,-38.75,278.32,2.07
-57.015705,-37.5,278.18,2.15
-57.015705,-36.25,278.07,2.19
-57.015705,-35.0,277.95,2.21
-57.015705,-33.75,277.81,2.2
-57.015705,-32.5,277.7,2.18
-57.015705,-31.25,277.66,2.15
-57.015705,-30.0,277.69,2.16
-56.0733,-170.0,278.93,0.96
-56.0733,-168.75,278.83,0.95
-56.0733,-167.5,278.74,0.94
-56.0733,-166.25,278.65,0.93
-56.0733,-165.0,278.53,0.9
-56.0733,-163.75,278.38,0.87
-56.0733,-162.5,278.23,0.84
-56.0733,-161.25,278.08,0.82
-56.0733,-160.0,277.93,0.79
-56.0733,-158.75,277.76,0.77
-56.0733,-157.5,277.55,0.76
-56.0733,-156.25,277.36,0.74
-56.0733,-155.0,277.18,0.73
-56.0733,-153.75,277.03,0.71
-56.0733,-152.5,276.94,0.71
-56.0733,-151.25,276.87,0.72
-56.0733,-150.0,276.77,0.73
-56.0733,-148.75,276.68,0.73
-56.0733,-147.5,276.63,0.76
-56.0733,-146.25,276.63,0.77
-56.0733,-145.0,276.7,0.79
-56.0733,-143.75,276.81,0.81
-56.0733,-142.5,276.95,0.84
-56.0733,-141.25,277.06,0.85
-56.0733,-140.0,277.12,0.83
-56.0733,-138.75,277.13,0.81
-56.0733,-137.5,277.11,0.79
-56.0733,-136.25,277.12,0.79
-56.0733,-135.0,277.17,0.81
-56.0733,-133.75,277.27,0.86
-56.0733,-132.5,277.43,0.89
-56.0733,-131.25,277.64,0.92
-56.0733,-130.0,277.86,0.94
-56.0733,-128.75,278.07,0.94
-56.0733,-127.5,278.23,0.91
-56.0733,-126.25,278.32,0.9
-56.0733,-125.0,278.37,0.9
-56.0733,-123.75,278.39,0.9
-56.0733,-122.5,278.4,0.91
-56.0733,-121.25,278.41,0.91
-56.0733,-120.0,278.41,0.91
-56.0733,-118.75,278.42,0.92
-56.0733,-117.5,278.42,0.94
-56.0733,-116.25,278.43,0.96
-56.0733,-115.0,278.44,0.97
-56.0733,-113.75,278.47,0.98
-56.0733,-112.5,278.53,0.99
-56.0733,-111.25,278.59,1.0
-56.0733,-110.0,278.66,1.01
-56.0733,-108.75,278.71,0.99
-56.0733,-107.5,278.75,0.97
-56.0733,-106.25,278.78,0.94
-56.0733,-105.0,278.81,0.9
-56.0733,-103.75,278.83,0.86
-56.0733,-102.5,278.84,0.82
-56.0733,-101.25,278.82,0.75
