lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,277.98,1.46
-59.842934,-168.75,277.81,1.37
-59.842934,-167.5,277.64,1.27
-59.842934,-166.25,277.44,1.15
-59.842934,-165.0,277.23,1.04
-59.842934,-163.75,277.0,0.93
-59.842934,-162.5,276.8,0.84
-59.842934,-161.25,276.61,0.78
-59.842934,-160.0,276.44,0.73
-59.842934,-158.75,276.27,0.71
-59.842934,-157.5,276.08,0.71
-59.842934,-156.25,275.9,0.72
-59.842934,-155.0,275.72,0.72
-59.842934,-153.75,275.56,0.71
-59.842934,-152.5,275.44,0.72
-59.842934,-151.25,275.35,0.71
-59.842934,-150.0,275.27,0.7
-59.842934,-148.75,275.2,0.69
-59.842934,-147.5,275.15,0.66
-59.842934,-146.25,275.15,0.6
-59.842934,-145.0,275.16,0.51
-59.842934,-143.75,275.18,0.42
-59.842934,-142.5,275.22,0.33
-59.842934,-141.25,275.27,0.26
-59.842934,-140.0,275.35,0.24
-59.842934,-138.75,275.44,0.24
-59.842934,-137.5,275.55,0.25
-59.842934,-136.25,275.66,0.27
-59.842934,-135.0,275.77,0.27
-59.842934,-133.75,275.87,0.25
-59.842934,-132.5,275.97,0.21
-59.842934,-131.25,276.07,0.19
-59.842934,-130.0,276.17,0.17
-59.842934,-128.75,276.27,0.14
-59.842934,-127.5,276.37,0.12
-59.842934,-126.25,276.47,0.13
-59.842934,-125.0,276.58,0.15
-59.842934,-123.75,276.69,0.2
-59.842934,-122.5,276.79,0.25
-59.842934,-121.25,276.88,0.31
-59.842934,-120.0,276.94,0.36
-59.842934,-118.75,277.02,0.41
-59.842934,-117.5,277.09,0.46
-59.842934,-116.25,277.15,0.51
-59.842934,-115.0,277.22,0.56
-59.842934,-113.75,277.3,0.62
-59.842934,-112.5,277.39,0.68
-59.842934,-111.25,277.47,0.73
-59.842934,-110.0,277.56,0.78
-59.842934,-108.75,277.65,0.83
-59.842934,-107.5,277.72,0.87
-59.842934,-106.25,277.78,0.9
-59.842934,-105.0,277.83,0.92
-59.842934,-103.75,277.88,0.93
-59.842934,-102.5,277.94,0.95
-59.842934,-101.25,278.01,0.96
-59.842934,-100.0,278.07,1.0
-59.842934,-98.75,278.13,1.06
-59.842934,-97.5,278.17,1.12
-59.842934,-96.25,278.2,1.19
-59.842934,-95.0,278.23,1.24
-59.842934,-93.75,278.26,1.29
-59.842934,-92.5,278.3,1.34
-59.842934,-91.25,278.35,1.39
-59.842934,-90.0,278.4,1.45
-59.842934,-88.75,278.43,1.49
-59.842934,-87.5,278.45,1.53
-59.842934,-86.25,278.45,1.54
-59.842934,-85.0,278.44,1.54
