lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.38,2.12
-59.842934,-168.75,275.31,2.08
-59.842934,-167.5,275.25,2.05
-59.842934,-166.25,275.18,2.04
-59.842934,-165.0,275.09,2.01
-59.842934,-163.75,275.0,1.97
-59.842934,-162.5,274.89,1.91
-59.842934,-161.25,274.78,1.86
-59.842934,-160.0,274.67,1.81
-59.842934,-158.75,274.57,1.75
-59.842934,-157.5,274.47,1.71
-59.842934,-156.25,274.36,1.66
-59.842934,-155.0,274.27,1.62
-59.842934,-153.75,274.2,1.57
-59.842934,-152.5,274.16,1.54
-59.842934,-151.25,274.14,1.51
-59.842934,-150.0,274.15,1.47
-59.842934,-148.75,274.17,1.42
-59.842934,-147.5,274.21,1.37
-59.842934,-146.25,274.28,1.32
-59.842934,-145.0,274.36,1.27
-59.842934,-143.75,274.44,1.23
-59.842934,-142.5,274.51,1.2
-59.842934,-141.25,274.58,1.16
-59.842934,-140.0,274.65,1.13
-59.842934,-138.75,274.73,1.11
-59.842934,-137.5,274.81,1.11
-59.842934,-136.25,274.88,1.09
-59.842934,-135.0,274.97,1.07
-59.842934,-133.75,275.05,1.05
-59.842934,-132.5,275.13,1.03
-59.842934,-131.25,275.21,0.99
-59.842934,-130.0,275.29,0.94
-59.842934,-128.75,275.37,0.88
-59.842934,-127.5,275.46,0.82
-59.842934,-126.25,275.54,0.77
-59.842934,-125.0,275.6,0.71
-59.842934,-123.75,275.65,0.64
-59.842934,-122.5,275.68,0.59
-59.842934,-121.25,275.71,0.54
-59.842934,-120.0,275.72,0.51
-59.842934,-118.75,275.73,0.49
-59.842934,-117.5,275.74,0.48
-59.842934,-116.25,275.74,0.48
-59.842934,-115.0,275.74,0.5
-59.842934,-113.75,275.72,0.55
-59.842934,-112.5,275.73,0.6
-59.842934,-111.25,275.75,0.63
-59.842934,-110.0,275.77,0.66
-59.842934,-108.75,275.8,0.68
-59.842934,-107.5,275.83,0.69
-59.842934,-106.25,275.88,0.71
-59.842934,-105.0,275.93,0.74
-59.842934,-103.75,275.99,0.78
-59.842934,-102.5,276.05,0.81
-59.842934,-101.25,276.13,0.84
-59.842934,-100.0,276.23,0.87
-59.842934,-98.75,276.31,0.9
-59.842934,-97.5,276.36,0.92
-59.842934,-96.25,276.41,0.94
-59.842934,-95.0,276.45,0.96
-59.842934,-93.75,276.51,1.0
-59.842934,-92.5,276.59,1.06
