lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,274.43,1.05
-59.842934,-168.75,274.38,1.06
-59.842934,-167.5,274.33,1.06
-59.842934,-166.25,274.27,1.06
-59.842934,-165.0,274.19,1.06
-59.842934,-163.75,274.1,1.05
-59.842934,-162.5,274.01,1.05
-59.842934,-161.25,273.9,1.05
-59.842934,-160.0,273.79,1.05
-59.842934,-158.75,273.68,1.04
-59.842934,-157.5,273.56,1.06
-59.842934,-156.25,273.42,1.07
-59.842934,-155.0,273.29,1.09
-59.842934,-153.75,273.17,1.1
-59.842934,-152.5,273.08,1.11
-59.842934,-151.25,273.02,1.09
-59.842934,-150.0,272.98,1.06
-59.842934,-148.75,272.97,1.03
-59.842934,-147.5,272.96,0.99
-59.842934,-146.25,272.98,0.94
-59.842934,-145.0,273.04,0.9
-59.842934,-143.75,273.11,0.86
-59.842934,-142.5,273.21,0.84
-59.842934,-141.25,273.32,0.81
-59.842934,-140.0,273.43,0.78
-59.842934,-138.75,273.57,0.73
-59.842934,-137.5,273.71,0.67
-59.842934,-136.25,273.85,0.62
-59.842934,-135.0,274.0,0.56
-59.842934,-133.75,274.12,0.52
-59.842934,-132.5,274.22,0.48
-59.842934,-131.25,274.32,0.44
-59.842934,-130.0,274.42,0.41
-59.842934,-128.75,274.52,0.37
-59.842934,-127.5,274.61,0.34
-59.842934,-126.25,274.7,0.31
-59.842934,-125.0,274.77,0.3
-59.842934,-123.75,274.82,0.28
-59.842934,-122.5,274.86,0.28
-59.842934,-121.25,274.89,0.27
-59.842934,-120.0,274.91,0.26
-59.842934,-118.75,274.92,0.25
-59.842934,-117.5,274.92,0.25
-59.842934,-116.25,274.93,0.26
-59.842934,-115.0,274.95,0.27
-59.842934,-113.75,274.99,0.3
-59.842934,-112.5,275.05,0.35
-59.842934,-111.25,275.11,0.39
-59.842934,-110.0,275.16,0.42
-59.842934,-108.75,275.21,0.45
-59.842934,-107.5,275.25,0.48
-59.842934,-106.25,275.3,0.52
-59.842934,-105.0,275.35,0.58
-59.842934,-103.75,275.41,0.65
-59.842934,-102.5,275.47,0.71
-59.842934,-101.25,275.55,0.76
