lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,277.73,1.56
-59.842934,-168.75,277.65,1.55
-59.842934,-167.5,277.59,1.55
-59.842934,-166.25,277.54,1.59
-59.842934,-165.0,277.49,1.63
-59.842934,-163.75,277.43,1.67
-59.842934,-162.5,277.34,1.68
-59.842934,-161.25,277.23,1.68
-59.842934,-160.0,277.11,1.68
-59.842934,-158.75,276.98,1.67
-59.842934,-157.5,276.8,1.64
-59.842934,-156.25,276.64,1.64
-59.842934,-155.0,276.48,1.68
-59.842934,-153.75,276.34,1.72
-59.842934,-152.5,276.23,1.71
-59.842934,-151.25,276.15,1.69
-59.842934,-150.0,276.1,1.69
-59.842934,-148.75,276.07,1.68
-59.842934,-147.5,276.04,1.64
-59.842934,-146.25,276.03,1.56
-59.842934,-145.0,276.06,1.51
-59.842934,-143.75,276.09,1.47
-59.842934,-142.5,276.12,1.4
-59.842934,-141.25,276.15,1.32
-59.842934,-140.0,276.19,1.25
-59.842934,-138.75,276.23,1.21
-59.842934,-137.5,276.27,1.17
-59.842934,-136.25,276.31,1.16
-59.842934,-135.0,276.38,1.18
-59.842934,-133.75,276.44,1.16
-59.842934,-132.5,276.5,1.11
-59.842934,-131.25,276.58,1.07
-59.842934,-130.0,276.66,1.03
-59.842934,-128.75,276.74,0.99
-59.842934,-127.5,276.82,0.97
-59.842934,-126.25,276.9,0.96
-59.842934,-125.0,276.95,0.95
-59.842934,-123.75,276.98,0.94
-59.842934,-122.5,276.99,0.96
-59.842934,-121.25,277.0,0.99
-59.842934,-120.0,276.99,1.02
-59.842934,-118.75,276.98,1.05
-59.842934,-117.5,276.97,1.1
-59.842934,-116.25,276.96,1.12
-59.842934,-115.0,276.95,1.12
-59.842934,-113.75,276.95,1.11
-59.842934,-112.5,277.0,1.15
-59.842934,-111.25,277.01,1.15
-59.842934,-110.0,277.0,1.16
-59.842934,-108.75,277.0,1.18
-59.842934,-107.5,276.99,1.17
-59.842934,-106.25,276.98,1.14
-59.842934,-105.0,276.99,1.14
-59.842934,-103.75,277.03,1.15
-59.842934,-102.5,277.09,1.16
-59.842934,-101.25,277.17,1.18
-59.842934,-100.0,277.25,1.22
-59.842934,-98.75,277.31,1.26
-59.842934,-97.5,277.35,1.29
-59.842934,-96.25,277.37,1.31
-59.842934,-95.0,277.39,1.34
-59.842934,-93.75,277.43,1.37
-59.842934,-92.5,277.48,1.4
-59.842934,-91.25,277.54,1.43
-59.842934,-90.0,277.57,1.41
-59.842934,-88.75,277.59,1.4
-59.842934,-87.5,277.62,1.41
-59.842934,-86.25,277.67,1.45
-59.842934,-85.0,277.74,1.51
-59.842934,-83.75,277.81,1.58
-59.842934,-82.5,277.9,1.67
-59.842934,-81.25,277.98,1.77
-59.842934,-80.0,278.05,1.86
-59.842934,-78.75,278.1,1.97
-59.842934,-77.5,278.15,2.09
-59.842934,-76.25,278.19,2.21
-59.842934,-75.0,278.19,2.33
-59.842934,-73.75,278.15,2.44
-59.842934,-72.5,278.08,2.51
-59.842934,-71.25,278.0,2.57
-59.842934,-70.0,277.85,2.61
-59.842934,-68.75,277.61,2.59
-59.842934,-67.5,277.38,2.58
-59.842934,-66.25,277.29,2.58
-59.842934,-65.0,277.27,2.58
-59.842934,-63.75,277.29,2.6
-59.842934,-62.5,277.35,2.62
-59.842934,-61.25,277.38,2.61
-59.842934,-60.0,277.33,2.53
-59.842934,-58.75,277.2,2.42
-59.842934,-57.5,277.06,2.32
-59.842934,-56.25,276.96,2.24
-59.842934,-55.0,276.89,2.18
-59.842934,-53.75,276.82,2.08
-59.842934,-52.5,276.77,2.02
-59.842934,-51.25,276.72,1.99
-59.842934,-50.0,276.67,1.99
-59.842934,-48.75,276.59,1.99
-59.842934,-47.5,276.47,2.01
-59.842934,-46.25,276.35,2.03
-59.842934,-45.0,276.25,2.05
-59.842934,-43.75,276.17,2.05
-59.842934,-42.5,276.09,2.06
-59.842934,-41.25,276.01,2.08
-59.842934,-40.0,275.92,2.1
-59.842934,-38.75,275.81,2.1
-59.842934,-37.5,275.69,2.09
-59.842934,-36.25,275.58,2.1
-59.842934,-35.0,275.47,2.08
-59.842934,-33.75,275.32,2.02
-59.842934,-32.5,275.18,1.95
