lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,274.11,-1.63
-59.842934,-168.75,274.0,-1.74
-59.842934,-167.5,273.89,-1.85
-59.842934,-166.25,273.79,-1.94
-59.842934,-165.0,273.72,-2.0
-59.842934,-163.75,273.63,-2.06
-59.842934,-162.5,273.56,-2.1
-59.842934,-161.25,273.51,-2.12
-59.842934,-160.0,273.47,-2.13
-59.842934,-158.75,273.42,-2.13
-59.842934,-157.5,273.38,-2.1
-59.842934,-156.25,273.38,-2.01
-59.842934,-155.0,273.42,-1.89
-59.842934,-153.75,273.47,-1.79
-59.842934,-152.5,273.54,-1.72
-59.842934,-151.25,273.63,-1.64
-59.842934,-150.0,273.73,-1.57
-59.842934,-148.75,273.85,-1.51
-59.842934,-147.5,273.98,-1.44
-59.842934,-146.25,274.2,-1.32
-59.842934,-145.0,274.41,-1.25
-59.842934,-143.75,274.61,-1.19
-59.842934,-142.5,274.8,-1.15
-59.842934,-141.25,274.98,-1.13
-59.842934,-140.0,275.14,-1.13
-59.842934,-138.75,275.28,-1.17
-59.842934,-137.5,275.41,-1.22
-59.842934,-136.25,275.54,-1.25
-59.842934,-135.0,275.65,-1.3
-59.842934,-133.75,275.8,-1.3
-59.842934,-132.5,275.95,-1.27
-59.842934,-131.25,276.07,-1.27
-59.842934,-130.0,276.18,-1.26
-59.842934,-128.75,276.3,-1.24
-59.842934,-127.5,276.42,-1.22
-59.842934,-126.25,276.5,-1.22
-59.842934,-125.0,276.56,-1.22
-59.842934,-123.75,276.59,-1.18
-59.842934,-122.5,276.62,-1.14
-59.842934,-121.25,276.67,-1.11
-59.842934,-120.0,276.69,-1.1
-59.842934,-118.75,276.69,-1.13
-59.842934,-117.5,276.7,-1.18
-59.842934,-116.25,276.73,-1.2
-59.842934,-115.0,276.75,-1.23
-59.842934,-113.75,276.77,-1.26
-59.842934,-112.5,276.8,-1.28
-59.842934,-111.25,276.85,-1.3
-59.842934,-110.0,276.92,-1.3
-59.842934,-108.75,276.96,-1.34
-59.842934,-107.5,276.98,-1.4
-59.842934,-106.25,276.98,-1.47
-59.842934,-105.0,276.96,-1.54
-59.842934,-103.75,276.9,-1.64
-59.842934,-102.5,276.83,-1.76
-59.842934,-101.25,276.78,-1.86
-59.842934,-100.0,276.75,-1.93
-59.842934,-98.75,276.74,-1.98
-59.842934,-97.5,276.72,-2.01
-59.842934,-96.25,276.68,-2.04
-59.842934,-95.0,276.65,-2.06
-59.842934,-93.75,276.62,-2.09
-59.842934,-92.5,276.6,-2.12
-59.842934,-91.25,276.58,-2.17
-59.842934,-90.0,276.58,-2.19
-59.842934,-88.75,276.58,-2.2
-59.842934,-87.5,276.61,-2.14
-59.842934,-86.25,276.63,-2.08
-59.842934,-85.0,276.62,-2.04
-59.842934,-83.75,276.58,-2.03
-59.842934,-82.5,276.52,-2.04
-59.842934,-81.25,276.44,-2.06
-59.842934,-80.0,276.35,-2.08
-59.842934,-78.75,276.25,-2.11
-59.842934,-77.5,276.14,-2.15
-59.842934,-76.25,275.99,-2.2
-59.842934,-75.0,275.8,-2.27
-59.842934,-73.75,275.56,-2.36
-59.842934,-72.5,275.3,-2.44
-59.842934,-71.25,275.01,-2.51
-59.842934,-70.0,274.64,-2.61
