lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,273.04,-1.45
-59.842934,-168.75,273.02,-1.38
-59.842934,-167.5,273.0,-1.32
-59.842934,-166.25,272.97,-1.27
-59.842934,-165.0,272.93,-1.23
-59.842934,-163.75,272.87,-1.2
-59.842934,-162.5,272.81,-1.17
-59.842934,-161.25,272.76,-1.12
-59.842934,-160.0,272.71,-1.09
-59.842934,-158.75,272.65,-1.06
-59.842934,-157.5,272.56,-1.02
-59.842934,-156.25,272.46,-0.98
-59.842934,-155.0,272.39,-0.94
-59.842934,-153.75,272.35,-0.9
-59.842934,-152.5,272.37,-0.85
-59.842934,-151.25,272.44,-0.8
-59.842934,-150.0,272.52,-0.75
-59.842934,-148.75,272.61,-0.71
-59.842934,-147.5,272.71,-0.71
-59.842934,-146.25,272.87,-0.65
-59.842934,-145.0,273.12,-0.5
-59.842934,-143.75,273.38,-0.33
-59.842934,-142.5,273.64,-0.17
-59.842934,-141.25,273.88,-0.04
-59.842934,-140.0,274.08,0.04
-59.842934,-138.75,274.24,0.08
-59.842934,-137.5,274.4,0.12
-59.842934,-136.25,274.54,0.14
-59.842934,-135.0,274.66,0.13
-59.842934,-133.75,274.76,0.12
-59.842934,-132.5,274.85,0.12
-59.842934,-131.25,274.94,0.13
-59.842934,-130.0,275.03,0.14
-59.842934,-128.75,275.11,0.14
-59.842934,-127.5,275.18,0.1
-59.842934,-126.25,275.22,0.08
-59.842934,-125.0,275.25,0.04
-59.842934,-123.75,275.25,-0.03
-59.842934,-122.5,275.25,-0.06
-59.842934,-121.25,275.26,-0.12
-59.842934,-120.0,275.3,-0.14
-59.842934,-118.75,275.33,-0.15
-59.842934,-117.5,275.36,-0.19
-59.842934,-116.25,275.39,-0.23
-59.842934,-115.0,275.46,-0.24
-59.842934,-113.75,275.54,-0.21
-59.842934,-112.5,275.66,-0.18
-59.842934,-111.25,275.77,-0.13
-59.842934,-110.0,275.9,-0.06
-59.842934,-108.75,275.99,-0.01
-59.842934,-107.5,276.04,-0.01
-59.842934,-106.25,276.04,-0.05
-59.842934,-105.0,276.02,-0.11
-59.842934,-103.75,275.99,-0.18
-59.842934,-102.5,275.96,-0.26
-59.842934,-101.25,275.96,-0.3
-59.842934,-100.0,275.94,-0.38
-59.842934,-98.75,275.9,-0.46
-59.842934,-97.5,275.83,-0.54
-59.842934,-96.25,275.75,-0.62
-59.842934,-95.0,275.67,-0.72
-59.842934,-93.75,275.61,-0.8
-59.842934,-92.5,275.57,-0.89
-59.842934,-91.25,275.51,-1.0
-59.842934,-90.0,275.47,-1.08
-59.842934,-88.75,275.44,-1.14
-59.842934,-87.5,275.39,-1.19
-59.842934,-86.25,275.31,-1.26
-59.842934,-85.0,275.23,-1.33
-59.842934,-83.75,275.15,-1.38
-59.842934,-82.5,275.08,-1.42
-59.842934,-81.25,274.98,-1.47
-59.842934,-80.0,274.89,-1.49
-59.842934,-78.75,274.8,-1.52
-59.842934,-77.5,274.74,-1.48
-59.842934,-76.25,274.69,-1.46
-59.842934,-75.0,274.59,-1.46
-59.842934,-73.75,274.48,-1.43
-59.842934,-72.5,274.36,-1.39
-59.842934,-71.25,274.19,-1.34
-59.842934,-70.0,273.91,-1.33
-59.842934,-68.75,273.49,-1.38
-59.842934,-67.5,273.01,-1.46
-59.842934,-66.25,272.75,-1.49
-59.842934,-65.0,272.58,-1.53
-59.842934,-63.75,272.49,-1.55
-59.842934,-62.5,272.48,-1.56
-59.842934,-61.25,272.46,-1.59
-59.842934,-60.0,272.39,-1.65
-59.842934,-58.75,272.27,-1.72
-59.842934,-57.5,272.05,-1.85
-59.842934,-56.25,271.75,-1.98
-59.842934,-55.0,271.43,-2.17
-59.842934,-53.75,271.12,-2.38
-59.842934,-52.5,270.89,-2.55
-59.842934,-51.25,270.74,-2.68
-59.842934,-50.0,270.62,-2.75
-59.842934,-48.75,270.55,-2.75
-59.842934,-47.5,270.49,-2.72
-59.842934,-46.25,270.46,-2.66
-59.842934,-45.0,270.5,-2.51
-59.842934,-43.75,270.53,-2.39
-59.842934,-42.5,270.55,-2.3
-59.842934,-41.25,270.52,-2.26
-59.842934,-40.0,270.45,-2.3
-59.842934,-38.75,270.32,-2.39
-59.842934,-37.5,270.16,-2.49
-59.842934,-36.25,269.99,-2.6
-59.842934,-35.0,269.81,-2.71
-59.842934,-33.75,269.57,-2.87
-59.842934,-32.5,269.34,-3.06
-59.842934,-31.25,269.12,-3.26
-59.842934,-30.0,268.89,-3.45
-58.900524,-170.0,273.87,-1.39
-58.900524,-168.75,273.84,-1.34
-58.900524,-167.5,273.81,-1.29
-58.900524,-166.25,273.78,-1.25
-58.900524,-165.0,273.73,-1.21
-58.900524,-163.75,273.67,-1.18
-58.900524,-162.5,273.59,-1.15
-58.900524,-161.25,273.52,-1.11
-58.900524,-160.0,273.44,-1.09
-58.900524,-158.75,273.34,-1.08
-58.900524,-157.5,273.24,-1.05
-58.900524,-156.25,273.13,-1.01
-58.900524,-155.0,273.04,-0.97
-58.900524,-153.75,272.96,-0.93
-58.900524,-152.5,272.95,-0.87
-58.900524,-151.25,273.0,-0.8
-58.900524,-150.0,273.1,-0.74
-58.900524,-148.75,273.2,-0.69
-58.900524,-147.5,273.27,-0.7
-58.900524,-146.25,273.38,-0.68
-58.900524,-145.0,273.57,-0.59
-58.900524,-143.75,273.78,-0.47
-58.900524,-142.5,274.01,-0.34
-58.900524,-141.25,274.24,-0.19
-58.900524,-140.0,274.43,-0.09
-58.900524,-138.75,274.58,-0.03
-58.900524,-137.5,274.74,0.02
-58.900524,-136.25,274.88,0.06
-58.900524,-135.0,275.02,0.06
-58.900524,-133.75,275.12,0.05
-58.900524,-132.5,275.22,0.04
-58.900524,-131.25,275.34,0.04
-58.900524,-130.0,275.46,0.03
-58.900524,-128.75,275.57,0.02
-58.900524,-127.5,275.66,-0.01
-58.900524,-126.25,275.72,-0.05
-58.900524,-125.0,275.74,-0.11
-58.900524,-123.75,275.74,-0.19
-58.900524,-122.5,275.75,-0.22
-58.900524,-121.25,275.8,-0.22
-58.900524,-120.0,275.83,-0.23
-58.900524,-118.75,275.83,-0.29
-58.900524,-117.5,275.85,-0.34
-58.900524,-116.25,275.89,-0.37
-58.900524,-115.0,275.96,-0.38
-58.900524,-113.75,276.06,-0.34
-58.900524,-112.5,276.21,-0.3
-58.900524,-111.25,276.35,-0.24
-58.900524,-110.0,276.48,-0.17
-58.900524,-108.75,276.57,-0.14
-58.900524,-107.5,276.62,-0.13
-58.900524,-106.25,276.62,-0.15
-58.900524,-105.0,276.59,-0.21
-58.900524,-103.75,276.54,-0.27
-58.900524,-102.5,276.5,-0.34
-58.900524,-101.25,276.47,-0.39
-58.900524,-100.0,276.46,-0.44
-58.900524,-98.75,276.43,-0.51
-58.900524,-97.5,276.39,-0.59
-58.900524,-96.25,276.31,-0.67
-58.900524,-95.0,276.23,-0.76
-58.900524,-93.75,276.18,-0.84
-58.900524,-92.5,276.15,-0.92
-58.900524,-91.25,276.13,-0.99
-58.900524,-90.0,276.09,-1.08
-58.900524,-88.75,276.05,-1.14
-58.900524,-87.5,275.98,-1.22
-58.900524,-86.25,275.91,-1.28
-58.900524,-85.0,275.82,-1.34
-58.900524,-83.75,275.75,-1.39
-58.900524,-82.5,275.68,-1.45
-58.900524,-81.25,275.6,-1.5
-58.900524,-80.0,275.53,-1.52
-58.900524,-78.75,275.46,-1.53
-58.900524,-77.5,275.41,-1.53
-58.900524,-76.25,275.37,-1.5
-58.900524,-75.0,275.3,-1.48
-58.900524,-73.75,275.21,-1.45
-58.900524,-72.5,275.08,-1.41
-58.900524,-71.25,274.93,-1.36
-58.900524,-70.0,274.71,-1.35
-58.900524,-68.75,274.34,-1.37
-58.900524,-67.5,273.86,-1.41
-58.900524,-66.25,273.55,-1.44
-58.900524,-65.0,273.39,-1.46
-58.900524,-63.75,273.33,-1.5
-58.900524,-62.5,273.37,-1.52
-58.900524,-61.25,273.42,-1.55
-58.900524,-60.0,273.41,-1.58
-58.900524,-58.75,273.32,-1.63
-58.900524,-57.5,273.17,-1.7
-58.900524,-56.25,272.93,-1.82
-58.900524,-55.0,272.67,-1.99
-58.900524,-53.75,272.38,-2.17
-58.900524,-52.5,272.14,-2.33
-58.900524,-51.25,271.97,-2.44
-58.900524,-50.0,271.85,-2.5
-58.900524,-48.75,271.72,-2.53
-58.900524,-47.5,271.59,-2.55
-58.900524,-46.25,271.49,-2.56
-58.900524,-45.0,271.49,-2.51
-58.900524,-43.75,271.52,-2.42
-58.900524,-42.5,271.55,-2.32
-58.900524,-41.25,271.55,-2.24
-58.900524,-40.0,271.5,-2.21
-58.900524,-38.75,271.41,-2.22
-58.900524,-37.5,271.3,-2.25
-58.900524,-36.25,271.18,-2.29
-58.900524,-35.0,271.05,-2.34
-58.900524,-33.75,270.89,-2.42
-58.900524,-32.5,270.77,-2.49
-58.900524,-31.25,270.66,-2.56
-58.900524,-30.0,270.57,-2.63
-57.958115,-170.0,274.57,-1.41
-57.958115,-168.75,274.52,-1.37
-57.958115,-167.5,274.47,-1.34
-57.958115,-166.25,274.45,-1.28
-57.958115,-165.0,274.41,-1.23
-57.958115,-163.75,274.33,-1.19
-57.958115,-162.5,274.24,-1.16
-57.958115,-161.25,274.16,-1.12
-57.958115,-160.0,274.07,-1.09
-57.958115,-158.75,273.97,-1.06
-57.958115,-157.5,273.86,-1.05
-57.958115,-156.25,273.74,-1.03
-57.958115,-155.0,273.62,-1.0
-57.958115,-153.75,273.52,-0.95
-57.958115,-152.5,273.47,-0.9
-57.958115,-151.25,273.48,-0.85
-57.958115,-150.0,273.54,-0.79
-57.958115,-148.75,273.63,-0.75
-57.958115,-147.5,273.73,-0.72
-57.958115,-146.25,273.83,-0.71
-57.958115,-145.0,273.95,-0.7
-57.958115,-143.75,274.11,-0.65
-57.958115,-142.5,274.31,-0.53
-57.958115,-141.25,274.54,-0.38
-57.958115,-140.0,274.74,-0.25
-57.958115,-138.75,274.88,-0.16
-57.958115,-137.5,275.01,-0.09
-57.958115,-136.25,275.13,-0.05
-57.958115,-135.0,275.25,-0.04
-57.958115,-133.75,275.35,-0.05
-57.958115,-132.5,275.46,-0.07
-57.958115,-131.25,275.59,-0.07
