lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,273.31,-0.29
-59.842934,-168.75,273.3,-0.25
-59.842934,-167.5,273.3,-0.21
-59.842934,-166.25,273.29,-0.15
-59.842934,-165.0,273.29,-0.09
-59.842934,-163.75,273.28,-0.02
-59.842934,-162.5,273.25,0.04
-59.842934,-161.25,273.21,0.1
-59.842934,-160.0,273.17,0.18
-59.842934,-158.75,273.12,0.27
-59.842934,-157.5,273.04,0.36
-59.842934,-156.25,272.96,0.45
-59.842934,-155.0,272.87,0.53
-59.842934,-153.75,272.81,0.6
-59.842934,-152.5,272.79,0.68
-59.842934,-151.25,272.8,0.77
-59.842934,-150.0,272.83,0.85
-59.842934,-148.75,272.89,0.93
-59.842934,-147.5,272.96,1.01
-59.842934,-146.25,273.07,1.08
-59.842934,-145.0,273.19,1.13
-59.842934,-143.75,273.32,1.17
-59.842934,-142.5,273.46,1.21
-59.842934,-141.25,273.61,1.25
-59.842934,-140.0,273.78,1.3
-59.842934,-138.75,273.97,1.34
-59.842934,-137.5,274.16,1.37
-59.842934,-136.25,274.35,1.39
-59.842934,-135.0,274.56,1.42
-59.842934,-133.75,274.75,1.45
-59.842934,-132.5,274.91,1.47
-59.842934,-131.25,275.06,1.48
-59.842934,-130.0,275.19,1.48
-59.842934,-128.75,275.31,1.49
-59.842934,-127.5,275.42,1.5
-59.842934,-126.25,275.5,1.49
-59.842934,-125.0,275.57,1.49
-59.842934,-123.75,275.62,1.46
-59.842934,-122.5,275.66,1.44
-59.842934,-121.25,275.69,1.4
-59.842934,-120.0,275.71,1.37
-59.842934,-118.75,275.71,1.32
-59.842934,-117.5,275.72,1.29
-59.842934,-116.25,275.72,1.25
-59.842934,-115.0,275.72,1.21
-59.842934,-113.75,275.73,1.16
-59.842934,-112.5,275.76,1.11
-59.842934,-111.25,275.79,1.08
-59.842934,-110.0,275.82,1.04
-59.842934,-108.75,275.86,1.01
-59.842934,-107.5,275.89,0.98
-59.842934,-106.25,275.93,0.96
-59.842934,-105.0,275.96,0.94
-59.842934,-103.75,276.0,0.91
-59.842934,-102.5,276.03,0.88
-59.842934,-101.25,276.09,0.88
-59.842934,-100.0,276.14,0.88
-59.842934,-98.75,276.19,0.89
-59.842934,-97.5,276.23,0.89
-59.842934,-96.25,276.25,0.89
-59.842934,-95.0,276.27,0.9
-59.842934,-93.75,276.29,0.93
-59.842934,-92.5,276.31,0.97
-59.842934,-91.25,276.34,1.0
-59.842934,-90.0,276.37,1.05
-59.842934,-88.75,276.4,1.07
-59.842934,-87.5,276.43,1.07
-59.842934,-86.25,276.45,1.07
-59.842934,-85.0,276.47,1.06
-59.842934,-83.75,276.47,1.03
-59.842934,-82.5,276.46,0.99
-59.842934,-81.25,276.45,0.94
-59.842934,-80.0,276.44,0.92
-59.842934,-78.75,276.42,0.88
-59.842934,-77.5,276.37,0.85
-59.842934,-76.25,276.3,0.81
-59.842934,-75.0,276.19,0.78
-59.842934,-73.75,276.04,0.75
-59.842934,-72.5,275.85,0.72
-59.842934,-71.25,275.62,0.69
-59.842934,-70.0,275.3,0.67
-59.842934,-68.75,274.91,0.68
-59.842934,-67.5,274.46,0.63
-59.842934,-66.25,274.22,0.65
-59.842934,-65.0,274.08,0.73
-59.842934,-63.75,274.03,0.76
-59.842934,-62.5,274.04,0.79
-59.842934,-61.25,274.06,0.83
-59.842934,-60.0,274.07,0.88
-59.842934,-58.75,274.05,0.99
-59.842934,-57.5,273.95,1.1
-59.842934,-56.25,273.79,1.18
-59.842934,-55.0,273.68,1.24
-59.842934,-53.75,273.6,1.22
-59.842934,-52.5,273.56,1.23
-59.842934,-51.25,273.53,1.29
-59.842934,-50.0,273.51,1.36
-59.842934,-48.75,273.45,1.48
-59.842934,-47.5,273.33,1.63
-59.842934,-46.25,273.2,1.77
-59.842934,-45.0,273.08,1.9
-59.842934,-43.75,273.02,2.05
-59.842934,-42.5,272.96,2.25
-59.842934,-41.25,272.89,2.48
-59.842934,-40.0,272.81,2.72
-59.842934,-38.75,272.74,2.98
-59.842934,-37.5,272.65,3.2
-59.842934,-36.25,272.54,3.4
-59.842934,-35.0,272.42,3.62
-59.842934,-33.75,272.28,3.82
-59.842934,-32.5,272.14,3.93
-59.842934,-31.25,271.98,3.98
-59.842934,-30.0,271.81,3.97
-58.900524,-170.0,274.13,-0.27
-58.900524,-168.75,274.09,-0.24
-58.900524,-167.5,274.07,-0.2
-58.900524,-166.25,274.06,-0.16
-58.900524,-165.0,274.04,-0.12
-58.900524,-163.75,274.0,-0.08
-58.900524,-162.5,273.95,-0.03
-58.900524,-161.25,273.9,0.02
-58.900524,-160.0,273.84,0.07
-58.900524,-158.75,273.77,0.15
-58.900524,-157.5,273.69,0.24
-58.900524,-156.25,273.58,0.31
-58.900524,-155.0,273.47,0.38
-58.900524,-153.75,273.37,0.46
-58.900524,-152.5,273.32,0.53
-58.900524,-151.25,273.31,0.61
-58.900524,-150.0,273.34,0.68
-58.900524,-148.75,273.39,0.74
-58.900524,-147.5,273.47,0.8
