lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,274.02,0.65
-59.842934,-168.75,273.94,0.67
-59.842934,-167.5,273.87,0.69
-59.842934,-166.25,273.8,0.7
-59.842934,-165.0,273.71,0.74
-59.842934,-163.75,273.62,0.8
-59.842934,-162.5,273.51,0.87
-59.842934,-161.25,273.4,0.96
-59.842934,-160.0,273.27,0.99
-59.842934,-158.75,273.14,1.0
-59.842934,-157.5,272.97,1.03
-59.842934,-156.25,272.8,1.07
-59.842934,-155.0,272.62,1.06
-59.842934,-153.75,272.44,1.03
-59.842934,-152.5,272.3,1.01
-59.842934,-151.25,272.19,0.99
-59.842934,-150.0,272.09,0.97
-59.842934,-148.75,272.03,0.95
-59.842934,-147.5,272.0,0.91
-59.842934,-146.25,272.01,0.84
-59.842934,-145.0,272.03,0.75
-59.842934,-143.75,272.05,0.64
-59.842934,-142.5,272.07,0.55
-59.842934,-141.25,272.1,0.44
-59.842934,-140.0,272.16,0.35
-59.842934,-138.75,272.25,0.27
-59.842934,-137.5,272.37,0.21
-59.842934,-136.25,272.5,0.17
-59.842934,-135.0,272.66,0.14
-59.842934,-133.75,272.79,0.14
-59.842934,-132.5,272.92,0.18
-59.842934,-131.25,273.03,0.23
-59.842934,-130.0,273.13,0.27
-59.842934,-128.75,273.23,0.3
-59.842934,-127.5,273.32,0.33
-59.842934,-126.25,273.4,0.35
-59.842934,-125.0,273.47,0.38
-59.842934,-123.75,273.54,0.45
-59.842934,-122.5,273.59,0.52
-59.842934,-121.25,273.64,0.57
-59.842934,-120.0,273.69,0.64
-59.842934,-118.75,273.73,0.7
-59.842934,-117.5,273.75,0.74
-59.842934,-116.25,273.76,0.77
-59.842934,-115.0,273.76,0.8
-59.842934,-113.75,273.79,0.82
-59.842934,-112.5,273.85,0.85
-59.842934,-111.25,273.91,0.88
-59.842934,-110.0,273.97,0.9
-59.842934,-108.75,274.01,0.93
-59.842934,-107.5,274.04,0.96
-59.842934,-106.25,274.06,1.0
-59.842934,-105.0,274.09,1.04
-59.842934,-103.75,274.11,1.08
-59.842934,-102.5,274.15,1.11
-59.842934,-101.25,274.2,1.17
-59.842934,-100.0,274.26,1.24
-59.842934,-98.75,274.31,1.31
-59.842934,-97.5,274.35,1.38
-59.842934,-96.25,274.39,1.44
-59.842934,-95.0,274.43,1.49
-59.842934,-93.75,274.48,1.53
-59.842934,-92.5,274.54,1.55
-59.842934,-91.25,274.61,1.57
-59.842934,-90.0,274.68,1.56
-59.842934,-88.75,274.75,1.55
-59.842934,-87.5,274.82,1.54
-59.842934,-86.25,274.87,1.53
-59.842934,-85.0,274.92,1.53
-59.842934,-83.75,274.96,1.55
-59.842934,-82.5,274.99,1.56
-59.842934,-81.25,275.02,1.55
-59.842934,-80.0,275.04,1.54
-59.842934,-78.75,275.09,1.54
-59.842934,-77.5,275.13,1.52
-59.842934,-76.25,275.14,1.5
-59.842934,-75.0,275.11,1.48
-59.842934,-73.75,275.03,1.44
-59.842934,-72.5,274.93,1.41
-59.842934,-71.25,274.82,1.41
-59.842934,-70.0,274.66,1.41
-59.842934,-68.75,274.42,1.42
-59.842934,-67.5,274.12,1.41
-59.842934,-66.25,273.89,1.37
-59.842934,-65.0,273.75,1.34
-59.842934,-63.75,273.7,1.33
-59.842934,-62.5,273.76,1.38
-59.842934,-61.25,273.83,1.44
-59.842934,-60.0,273.82,1.46
-59.842934,-58.75,273.72,1.44
-59.842934,-57.5,273.59,1.43
